Pro,Con,Judges,Votes,Win
Christopher Columbus GG,Lincoln-Sudbury KA,"Jingsan Zhu																																						Paul Glenn																																						Alexander Greene","Con																															Con																															Con","3-0																															CON"
Hunter SS,Richard Montgomery WY,"Nitika Kaushal																																						William Caugherty																																						Joe Augustine","Con																															Con																															Con","3-0																															CON"
Robinson MW,Strath Haven DF,"Tobias Penner																																						Ed Shnekendorf																																						Kylie Morris","Con																															Con																															Con","3-0																															CON"
Emerald AG,Summit AH,"Sebastian Glos																																						Karissa Kromminga																																						Sean Lacalle","Pro																															Pro																															Con","2-1																															PRO"
River Hill BT,Brearley SC,"Monali Shenolikar																																						Sherry Huang																																						Vivek Malik","Pro																															Pro																															Pro","3-0																															PRO"
Stuyvesant BD,Delbarton KL,"Tania Giovannetti																																						Kathy Sheehan																																						Hyuna Kim","Pro																															Pro																															Con","2-1																															PRO"
Syosset LS,Stuyvesant BL,"Jamie Brashear																																						Henry Levinson																																						Gabriel Falero","Pro																															Con																															Con","2-1																															CON"
Summit PA,Lexington LM,"Richard Lay																																						Luke Lukose																																						Suraj Nistala","Con																															Con																															Con","3-0																															CON"
Montville NS,Horace Mann PJ,"Sarah Bi																																						Nuwan Dassanaike																																						Raquel De Lavandeyra","Con																															Pro																															Con","2-1																															CON"
Millburn XS,Dreyfoos Arts MM,"Anaya Joshi																																						Zach Dyar																																						Rahul Deep","Con																															Con																															Pro","2-1																															CON"
American Heritage Palm Beach CJ,Academy at Palumbo CS,"John Davis																																						Dean Gonzalez																																						Max Kornfeld","Pro																															Pro																															Pro","3-0																															PRO"
Millburn CT,North Allegheny DD,"Mac Hays																																						Alex Huang																																						Melinda (Michi) Synn","Pro																															Pro																															Con","2-1																															PRO"
Lexington SP,Denver East RA,"Faith Zhao																																						James Grey																																						Meg Bratt","Con																															Pro																															Con","2-1																															CON"
Christopher Columbus CR,Millburn CW,"Atreyi Basu																																						Sumukh Tendulkar																																						Michael Avitzur","Pro																															Pro																															Con","2-1																															PRO"
Hunter WT,Pittsburgh Central Catholic GA,"Sharan Mudgal																																						Michal Cohan																																						Sunay Chawla","Con																															Pro																															Con","2-1																															CON"
Bronx Science AC,Trinity Prep DC,"Eva Redmond																																						Maddox Gates																																						Emily Seo","Con																															Con																															Pro","2-1																															CON"
Robinson MB,Delbarton AX,"Pav Reddy																																						Justinmar Perez																																						Crystal Fu","Con																															Con																															Con","3-0																															CON"
Avenues: The World JY,Regis LN,"Veena Devarakonda																																						Uma Venkat																																						Chids Mahadevan","Con																															Con																															Con","3-0																															CON"
Boston Latin PL,Blake BC,"Thomas Evans																																						Massimo Mejia																																						Elaine Johnson","Con																															Con																															Con","3-0																															CON"
Newton South TP,Regis AL,"Concezio Pavone																																						Chuck McNamee																																						Theresa Liu","Con																															Pro																															Pro","2-1																															PRO"
Avenues: The World CB,Arlington LC,"Antonina Clementi																																						Suleman Ranjha																																						Zach Fleesler","Pro																															Pro																															Pro","3-0																															PRO"
Millburn SK,Newton South BT,"Camille Chang																																						Grace Grammatico																																						Luidgine Faustin","Pro																															Con																															Pro","2-1																															PRO"
Lake Highland Prep GA,Riverside SL,"Chelsea Hodgson																																						Lindsay Donovan																																						Isabel Matos","Pro																															Con																															Con","2-1																															CON"
Montville ZW,Summit SZ,"David Levin																																						Aidan Moran																																						Ivana Bozic","Con																															Con																															Pro","2-1																															CON"
Ridge HP,Bronx Science TT,"Gary Silverman																																						Erela Datuowei																																						Pallavi Annambhotla","Con																															Con																															Pro","2-1																															CON"
