Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Southlake Carroll SD,Lake Highland Prep HL,Michael Kurian,Neg,"29.0																																																														2","29.8																																																														1"
Heights AW,Garland DA,Rodrigo Paramo,Aff,"28.9																																																														1","28.6																																																														2"
Cabot JB,Southlake Carroll TA,Brett Cryan,Neg,"28.4																																																														2","28.5																																																														1"
Cy-Fair AM,Strake Jesuit  CB,Michael Harris,Aff,"28.2																																																														1","28.0																																																														2"
Christopher Columbus AM,L C Anderson NW,Sebastian Cho,Neg,"29.0																																																														2","29.1																																																														1"
Flower Mound ST,Newman Smith SJ,Tajaih Robinson,Neg,"29.2																																																														2","29.3																																																														1"
Cy-Fair SB,Coppell AS,Chris Castillo,Neg,"29.0																																																														2","29.1																																																														1"
James Bowie NW,Greenhill SL,Jacob Koshak,Aff,"29.0																																																														1","28.6																																																														2"
Strake Jesuit  VJ,Byron Nelson SS,Elmer Yang,Aff,"28.9																																																														1","28.7																																																														2"
Dulles VN,Southlake Carroll DP,Brett Cryan,Aff,"29.6																																																														1","28.7																																																														2"
Heights CT,Northland Christian AH,Dominic Henderson,Aff,"28.4																																																														1","28.3																																																														2"
Westwood AG,Lake Highland Prep NP,Daksh Kapoor,Neg,"27.0																																																														2","29.0																																																														1"
Academy Of Classical Christian Studies JM,Westlake MR,Jayanne Forrest,Aff,"30.0																																																														1","30.0																																																														2"
Jordan VS,Little Rock Central KC,Elmer Yang,Neg,"28.5																																																														2","28.8																																																														1"
Strake Jesuit  OZ,Memorial BD,Michael Harris,Neg,"28.5																																																														2","29.2																																																														1"
Lake Highland Prep PS,Westwood DL,Alizah Charaniya,Aff,"30.0																																																														1","30.0																																																														2"
Cypress Woods CT,Strake Jesuit  KM,Joshua Smith,Neg,"28.5																																																														2","29.0																																																														1"
Marcus MO,Heights CH,Armada Veraepalli,Aff,"27.0																																																														1","27.0																																																														2"
L C Anderson AS,Southlake Carroll AS,Chris Castillo,Neg,"28.5																																																														1","28.3																																																														2"
Little Rock Central XJ,Cypress Woods SL,Armada Veraepalli,Aff,"27.0																																																														1","27.0																																																														2"
Colleyville Heritage CS,Seven Lakes SK,Lyndsey Toce,Aff,"30.0																																																														1","28.0																																																														2"
Cypress Woods AZ,Westlake DB,dylan jones,Aff,"28.4																																																														1","28.3																																																														2"
Keller RG,Newman Smith KM,Joshua Smith,Neg,"28.5																																																														2","28.5																																																														1"
Cy-Fair DS,Centennial NM,Robert Marchant,Neg,"29.0																																																														2","29.1																																																														1"
Christopher Columbus NG,Lynbrook SY,Drew Marshall,Neg,"27.8																																																														2","28.9																																																														1"
Strake Jesuit  JK,Westlake BR,Becca Traber,Aff,"29.2																																																														1","20.0																																																														2"
Strake Jesuit  KS,Greenhill SK,Sebastian Cho,Aff,"29.8																																																														1","29.7																																																														2"
Byron Nelson PM,Memorial DM,Alizah Charaniya,Neg,"28.5																																																														2","29.5																																																														1"
Byron Nelson BW,Plano East VR,Michael Kurian,Neg,"27.0																																																														2","28.0																																																														1"
Westlake AC,Claudia Taylor Johnson MR,dylan jones,Aff,"28.7																																																														1","28.6																																																														2"
St John's RS,Plano East PG,Drew Marshall,Neg,"27.0																																																														2","28.5																																																														1"
Carnegie Vanguard LH,Strake Jesuit  MS,Jack Quisenberry,Neg,"28.7																																																														2","29.3																																																														1"
Westwood AP,Greenhill AK,Isaac Chao,Aff,"29.3																																																														1","29.1																																																														2"
Lake Highland Prep VS,Little Rock Central BF,Harun Vemulapalli,Neg,"28.4																																																														2","28.7																																																														1"
Strake Jesuit  DA,William P. Clements KK,Phoenix Pittman,Aff,"29.2																																																														1","29.1																																																														2"
McNeil AG,Plano East NG,Austin Broussard,Neg,"29.5																																																														2","29.5																																																														1"
Strake Jesuit  NW,Flower Mound AM,Vik Maan,Aff,"29.8																																																														1","29.7																																																														2"
Garland NG,Dripping Springs AS,Robert Marchant,Neg,"27.0																																																														2","27.1																																																														1"
Garland LA,Cypress Woods OS,Tehsina Sarwar,Neg,"27.0																																																														2","28.0																																																														1"
Cy-Fair MF,Dripping Springs CD,Nethmin Liyanage,Neg,"27.8																																																														2","28.0																																																														1"
Memorial MG,American Heritage Broward SS,Tajaih Robinson,Neg,"29.3																																																														2","30.0																																																														1"
Northland Christian JM,Strake Jesuit  RC,Anthony Brown,Neg,"28.0																																																														2","28.5																																																														1"
BASIS Peoria PY,Challenge Early JA,Jayanne Forrest,Aff,"30.0																																																														1","30.0																																																														2"
Strake Jesuit  LW,Coppell HA,Anthony Brown,Neg,"28.5																																																														2","29.0																																																														1"
Westwood BJ,St Agnes EH,Parth Misra,Neg,"29.9																																																														2","30.0																																																														1"
Isidore Newman EE,McNeil KJ,Evan Engel,Aff,"29.5																																																														1","28.4																																																														2"
Southlake Carroll AR,Challenge Early KU,Harun Vemulapalli,Aff,"29.5																																																														1","29.4																																																														2"
McNeil YM,Plano East HN,Abbey Chapman,Aff,"29.3																																																														1","29.0																																																														2"
Strake Jesuit  JS,Plano East AW,Jack Quisenberry,Aff,"29.9																																																														1","29.8																																																														2"
Norman North EH,Lake Highland Prep SV,Lilly Broussard,Neg,"28.0																																																														2","28.1																																																														1"
Elkins ZW,Seven Lakes VS,Aiden Moguel,Neg,"27.0																																																														2","29.0																																																														1"
Greenhill CR,Memorial DX,Isaac Chao,Neg,"28.5																																																														2","28.9																																																														1"
Westlake GW,Coppell EH,Nethmin Liyanage,Neg,"27.8																																																														2","27.9																																																														1"
Little Rock Central MG,Southlake Carroll EP,Rodrigo Paramo,Neg,"29.6																																																														1","29.1																																																														2"
