Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Tompkins AL,Cabot JB,Aiden Moguel,Aff,"29.0																																																														1","28.5																																																														2"
Heights CH,Strake Jesuit  LW,Harun Vemulapalli,Neg,"28.6																																																														1","28.4																																																														2"
Strake Jesuit  JK,Claudia Taylor Johnson MR,Vik Maan,Aff,"27.9																																																														1","27.8																																																														2"
Garland DA,Cy-Fair MF,Jay Conklin,Neg,"28.1																																																														2","28.3																																																														1"
Little Rock Central XJ,Norman North EH,Daniel Lee,Aff,"28.8																																																														1","27.0																																																														2"
Challenge Early JA,Southlake Carroll AS,Harun Vemulapalli,Aff,"28.6																																																														1","28.5																																																														2"
Garland LA,Strake Jesuit  CB,Abbey Chapman,Neg,"27.5																																																														2","28.1																																																														1"
Plano East NG,James Bowie NW,dylan jones,Aff,"28.7																																																														1","28.6																																																														2"
Lake Highland Prep SV,Little Rock Central BF,Sebastian Cho,Aff,"29.5																																																														2","29.6																																																														1"
Dulles NJ,Elkins ZW,Phoenix Pittman,Aff,"29.5																																																														1","27.1																																																														2"
Strake Jesuit  KS,Dulles VN,Austin Broussard,Aff,"30.0																																																														1","30.0																																																														2"
Christopher Columbus NG,Greenhill CR,Jay Conklin,Neg,"27.9																																																														2","28.1																																																														1"
Cypress Woods CT,Byron Nelson BW,Nethmin Liyanage,Aff,"28.2																																																														1","28.1																																																														2"
Cypress Woods JB,Strake Jesuit  JS,Isaac Chao,Neg,"27.1																																																														2","28.6																																																														1"
Westwood DL,Isidore Newman EE,Elmer Yang,Neg,"28.9																																																														2","29.3																																																														1"
Strake Jesuit  OZ,Cy-Fair AM,Isaac Chao,Aff,"27.2																																																														2","27.4																																																														1"
Keller RG,St John's RS,Leigh Walters,Neg,"28.7																																																														2","29.0																																																														1"
Heights AW,Southlake Carroll DP,Nethmin Liyanage,Aff,"29.2																																																														1","28.0																																																														2"
St Agnes EH,Byron Nelson PM,Drew Marshall,Aff,"29.0																																																														1","28.0																																																														2"
