Pro,Con,Judges,Votes,Win
Acton-Boxborough SG,Kinkaid ZY,"Mason Cheng																																						Sophia Robertson																																						Bailie Schaefer","Con																															Con																															Con","3-0																															CON"
Avenues: The World JY,Bronx Science BG,"Cynthia Cooper																																						Jeanne Alailima																																						Vinitha Ramnathan","Pro																															Con																															Con","2-1																															CON"
Thomas S. Wootton PT,Horace Mann AG,"Michael Brakaj																																						Ram Miller																																						Brad Maxwell","Pro																															Pro																															Pro","3-0																															PRO"
Pittsburgh Central Catholic GA,Strath Haven DZ,"Ishan Dubey																																						Erin Jacques																																						Dasha Smirnova","Con																															Pro																															Con","2-1																															CON"
Bronx Science AE,Strake Jesuit  HW,"Jeff Freedman																																						Venu Goli																																						Victor Chen","Pro																															Pro																															Con","2-1																															PRO"
Strake Jesuit  GZ,Kinkaid CT,"Joshua Cohen																																						Dean Carman																																						Sangeeta Shroff","Pro																															Pro																															Pro","3-0																															PRO"
Richard Montgomery WY,Strake Jesuit  TN,"Donhee Ham																																						Sam Chen																																						anne chang","Con																															Con																															Pro","2-1																															CON"
Avenues: The World CB,Bronx Science OS,"Tianyi Wang																																						William Caugherty																																						Andy Stubbs","Pro																															Con																															Pro","2-1																															PRO"
Newton South HK,Livingston YZ,"Grisel Reyes																																						Caroline Li																																						Natalie Strintzis","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  MZ,Horace Mann KS,"Roshni Mohan																																						Ayala Tovy																																						Atreyi Basu","Con																															Con																															Con","3-0																															CON"
Lincoln-Sudbury KH,Arlington CL,"Vishal Misra																																						Dana Lanciloti																																						Zahra Karim","Pro																															Pro																															Pro","3-0																															PRO"
Acton-Boxborough SN,Newton South DM,"Jeffrey Kahn																																						Huijun Wei																																						Anaya Joshi","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  CL,Horace Mann CP,"Craig Swartz																																						Aman Siddiqi																																						Tatianna Palaguina","Pro																															Pro																															Con","2-1																															PRO"
Concord Carlisle HW,Sharon HX,"Sean Lee																																						Ria Vasishtha																																						Kevin Browne","Con																															Pro																															Pro","2-1																															PRO"
Germantown SH,Horace Mann CT,"Ophelia Fang																																						Sanjay Mallikarjun																																						Xiaorong Hou","Con																															Pro																															Pro","2-1																															PRO"
Bay Area Independent CL,Newton South LS,"Casey Stevens																																						Zachary Chen																																						Christyn MacDougall","Con																															Con																															Pro","2-1																															CON"
