Aff,Neg,Judges,Votes,Win
Cary Acad RP,Marvin Ridge JW,"Jon Farace																																						Prince Anand																																						Alexander Sun","Aff																															Aff																															Neg","2-1																															AFF"
Cary Acad AF,Marvin Ridge SS,"Chuck Nicholas																																						Whitney Bouknight																																						Deepshikha Sharma","Aff																															Neg																															Neg","2-1																															NEG"
