Aff,Neg,Judges,Votes,Result
Sage Hill MP,Harker DS,"Chris Castillo																																		Claudia Ribera																																		Tarun Ratnasabapathy","Neg																												Neg																												Neg","3-0																															NEG"
Lexington BF,Plano East AW,"James Stuckert																																		Javier Navarrete																																		Annie Wang","Aff																												Neg																												Aff","2-1																															AFF"
Strake Jesuit  ZD,Harrison AA,"Daksh Kapoor																																		Christopher Vincent																																		Jack Quisenberry","Aff																												Neg																												Aff","2-1																															AFF"
Bellarmine  AK,Southlake Carroll PK,"Rodrigo Paramo																																		Elijah Smith																																		Anna Myers","Neg																												Neg																												Neg","3-0																															NEG"
