Pro,Con,Judges,Votes,Win
Harker CP,Dougherty Valley SM,"ERTAI TAI																																						Andy Stubbs																																						Hannah Du","Pro																															Pro																															Con","2-1																															PRO"
Canyon Crest WS,BASIS Phoenix GP,"Alex O'Brien																																						Frederick Changho																																						Nikki Archibald","Pro																															Pro																															Pro","3-0																															PRO"
Monta Vista TG,Carlsbad DM,"Meghan Grabel																																						Madds Garza																																						Kinan Cehajic","Con																															Pro																															Pro","2-1																															PRO"
BASIS Peoria LA,Albuquerque SD,"Ed Lingo																																						anne chang																																						Heather Rasmussen","Con																															Con																															Pro","2-1																															CON"
Archbishop Mitty LM,National Debate Club SX,"Anna Williams																																						Les Phillips																																						Nadia Sarwar","Con																															Pro																															Pro","2-1																															PRO"
Nueva CD,Arizona  DN,"Christian Saavedra																																						Nethra Dhamodaran																																						Jenni Harris","Con																															Pro																															Pro","2-1																															PRO"
Mission San Jose PS,Fairmont Prep CH,"Greg Pratt																																						Gang Duan																																						Ting Chen","Con																															Con																															Con","3-0																															CON"
Acton-Boxborough NS,BASIS Peoria VG,"Lekshmi Devi Venugopal																																						Joshua Stinson																																						Holly Harris","Con																															Con																															Con","3-0																															CON"
Leland RM,Bay Area Independent CL,"Cas Mulford																																						Vedesh Kodnani																																						Leann Liu","Pro																															Con																															Pro","2-1																															PRO"
Pacific Blue Prep WZ,Dougherty Valley CM,"Marge Strong																																						Morgan Rumsey																																						Dens Sumesh","Pro																															Pro																															Pro","3-0																															PRO"
Arizona  GN,Leland CL,"Dong Woon Kim																																						Pristeen Perreira																																						Mikendra McCoy","Con																															Pro																															Pro","2-1																															PRO"
Hamilton CX,Awty International ZZ,"Stella Sung																																						Young Cho																																						max xing","Pro																															Pro																															Con","2-1																															PRO"
Archbishop Mitty DM,Mountain House JP,"Roop Guru																																						Mike Bausch																																						Wei Chen","Con																															Pro																															Con","2-1																															CON"
Harker GS,Albuquerque CT,"Cherie Wang																																						Steven Rapp																																						Daniel Waks","Con																															Con																															Con","3-0																															CON"
BASIS Peoria RN,Bellarmine  LJ,"Sky Juinio																																						Yonglian Wang																																						Isabelle Hatch","Con																															Con																															Con","3-0																															CON"
Fairmont Prep PN,Fairmont Prep PP,,Fairmont Prep PP advances,Fairmont Prep PP advances
Nueva GC,,,,
Fairmont Prep TK,,,,
National Debate Club BI,,,,
Los Altos LW,,,,
Canyon Crest AR,,,,
Los Altos DD,,,,
Nueva SE,,,,
Magnolia NZ,,,,
Saratoga TL,,,,
Kinkaid ZY,,,,
College Prep HY,,,,
Harker LL,,,,
Canyon Crest FS,,,,
Dougherty Valley WB,,,,
Archbishop Mitty SA,,,,
Fairmont Prep PS,,,,
