Aff,Neg,Judges,Votes,Win
Lexington SF,Harker SS,"Eva Lamberson																																						Hannah Stafford																																						Kacee Wells","Neg																															Neg																															Neg","3-0																															NEG"
Marlborough MJ,Lake Highland Prep AR,"Suhani Jampala																																						Brendon Morris																																						Jacob Nails","Aff																															Aff																															Aff","3-0																															AFF"
James Bowie BR,Harrison JB,"Andrew Shea																																						Nicholas Ford																																						Nigel Taylor-Ward","Neg																															Neg																															Neg","3-0																															NEG"
William G Enloe PD,Strake Jesuit  JW,"Rose Larson																																						Alice Waters																																						Sabeeh Mirza","Neg																															Neg																															Aff","2-1																															NEG"
Lexington RL,Marlborough WR,"Sam Anderson																																						Ryan Davis																																						Jonas Le Barillec","Neg																															Aff																															Neg","2-1																															NEG"
Harrison BS,Harker VL,"Aaron Timmons																																						Delon Fuller																																						Dylan Sutton","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill SK,Lake Highland Prep SV,"Jonathan Alston																																						Chetan Hertzig																																						Joshua Adegoke","Neg																															Aff																															Aff","2-1																															AFF"
Poly Prep Country Day RG,Brophy TJ,"Jonathan Meza																																						Patrick Fox																																						Ana Bittner","Neg																															Neg																															Aff","2-1																															NEG"
Lake Highland Prep PS,Marlborough HL,"Temitope Ogundare																																						Bennett Dombcik																																						David Coates","Aff																															Aff																															Aff","3-0																															AFF"
Sage Oak Charter AK,Garland LA,"Chaz Espinal Wyche																																						Jack Ave																																						Elliot Harvanko","Aff																															Neg																															Neg","2-1																															NEG"
Riverside SH,Marlborough OO,"Archan Sen																																						Christopher Vincent																																						Nick Loew","Neg																															Neg																															Neg","3-0																															NEG"
Barrington AC,Harrison JG,"Yoyo Lei																																						Mark Kivimaki																																						Syd Hegseth-Huntimer","Aff																															Neg																															Neg","2-1																															NEG"
Isidore Newman AB,Collegiate ND,"Nathan Johnston																																						Aerin Engelstad																																						Amadea Datel","Aff																															Neg																															Aff","2-1																															AFF"
Kinkaid SZ,Westlake MR,"Rodrigo Paramo																																						Chris Castillo																																						Will Kochel","Aff																															Neg																															Neg","2-1																															NEG"
Harrison RP,Lexington MS,"Tom Evnen																																						Conal Thomas-McGinnis																																						Simon Jarcho","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  NW,Strake Jesuit  KM,,Strake Jesuit  NW advances,Strake Jesuit  NW advances
