Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Lexington AM,Charlotte Latin EL,Jack Merkel,Neg,30,30
Cary CP,Ramsay DF,Quentin Clark,Neg,28,28
Eden Prairie AG,Colonial Forge SR,Malcolm Davis,Aff,29,29
Unionville PW,Acton-Boxborough IA,Matthew Davis,Aff,28,28
Harker AV,Carmel CSu,Bennett Dombcik,Neg,29,29
Dougherty Valley KZ,Durham SA,Saianurag Karavadi,Aff,29,27
OA Independent VM,Evergreen Valley SV,Saketh Kotapati,Aff,30,28
Northern Valley HS Independent JS,Strath Haven AM,Gordon Krauss,Neg,29,30
Cabot AC,Vestavia Hills DS,Eva Lamberson,Neg,29,29
Peninsula AB,Westwood AD,Emmiee Malyugina,Neg,28,29
Durham JH,Hawken RS,Conor Obrien,Aff,28,28
Milpitas AK,Woodrow Wilson TE,Claire Chen,Aff,28,27
Vestavia Hills GJ,Eagan AE,Jacob Palmer,Neg,28,28
Harker SS,Woodrow Wilson SR,Ki Radcliffe,Neg,29,29
Pennsbury EH,Little Rock Central MG,Trey Roark,Neg,29,30
Northern Valley HS Independent DN,Mercer Island KS,Matthew Slencsak,Aff,30,29
Byram Hills EW,Pittsburgh Central Catholic EF,Anand Rao,Aff,28,28
Ridgewood Independent JF,Strath Haven LP,Calvin Tyler,Neg,28,28
Strake Jesuit  CM,William Tennent EM,Immanuel Victor,Neg,28,28
Fremont TK,Mountain View EN,Matthew Davis,Neg,29,30
St Croix Prep AD,Edina JS,Bennett Dombcik,Neg,29,29
Westwood WY,Durham RL,Saianurag Karavadi,Aff,29,27
Stockdale RP,Strake Jesuit  RC,Gordon Krauss,Neg,28,28
Acton-Boxborough AM,Larry A Ryle JG,Eva Lamberson,Neg,29,29
Dougherty Valley TM,Acton-Boxborough BH,Emmiee Malyugina,Neg,28,30
Charlotte Latin AP,Pennsbury GB,Jacob Palmer,Aff,28,28
Larry A Ryle KH,Woodrow Wilson CO,RJ Pellicciotta,Neg,29,29
Harker GS,Durham BG,Matthew Slencsak,Aff,30,29
Cary NS,Harker AA,Calvin Tyler,Neg,29,29
Lexington FM,,,Aff BYE,Aff BYE,
