Aff,Neg,Judges,Votes,Result
Harvard-Westlake JH,Dulles NJ,"Diana Alvarez																																		Jack Quisenberry																																		Collin Smith","Neg																												Neg																												Aff","2-1																															NEG"
Aragon ZA,Strake Jesuit  JK,"Gordon Krauss																																		Vishan Chaudhary																																		Jack Quisenberry","Aff																												Aff																												Neg","2-1																															AFF"
Lexington AG,,,,
Greenhill KD,,,,
Greenhill NT,,,,
Strake Jesuit  DL,,,,
Westwood PM,,,,
Immaculate Heart JL,,,,
Dulles VN,,,,
Strake Jesuit  JW,,,,
Homestead SL,,,,
Strake Jesuit  KS,,,,
Northland Christian LB,,,,
Harker RM,,,,
Wenatchee JK,,,,
Harker DS,,,,
Harker AS,,,,
Westwood AG,,,,
Harker MK,,,,
Strake Jesuit  JS,,,,
Strake Jesuit  DA,,,,
Immaculate Heart RR,,,,
Westlake MR,,,,
Harker KB,,,,
Ayala AM,,,,
Harvard-Westlake AL,,,,
Little Rock Central MG,,,,
Southlake Carroll PK,,,,
Marlborough WR,,,,
Lexington AK,,,,
Harvard-Westlake IC,,,,
Southlake Carroll EP,,,,
