Aff,Neg,Judges,Votes,Win
Richard Montgomery LX,Southlake Carroll SR,"Don Lundy																																		Roy Sahachaisere																																		Sekou Cisse","Aff																												Neg																												Neg","2-1																															NEG"
Southlake Carroll KY,Southlake Carroll SP,,Southlake Carroll KY advances,Southlake Carroll KY advances
