Pro,Con,Judges,Votes,Win
Brooklyn Technical CH,Chapin MS,"Michael DePasquale																																						Lisa Gring-Pemble																																						Curran McQuade","Con																															Con																															Con","3-0																															CON"
Ridge ZM,Unionville NZ,"Benjamin Geffen																																						RJ Tischler																																						Jeff He","Pro																															Pro																															Con","2-1																															PRO"
Phillipsburg AbDe,Strath Haven DL,"Ganesh Letchumanan																																						Ashok Kasarla																																						Sean Wang","Con																															Pro																															Pro","2-1																															PRO"
JR Masterman WE,Bronx Science GM,"Alison Wicher																																						David Cho																																						Sushil Patankar","Pro																															Pro																															Con","2-1																															PRO"
JR Masterman CD,McLean WK,"Zach Frieden																																						Courtney Sherman																																						Luigi Auquilla","Pro																															Pro																															Pro","3-0																															PRO"
Lexington SM,Broad Run KS,"Sasha Phillips																																						Sean Merkel																																						Justin Bi","Pro																															Pro																															Pro","3-0																															PRO"
Collegiate AS,Phillipsburg DK,"Richard Nash																																						Shyla Sarkar																																						Marcus Perez","Pro																															Pro																															Con","2-1																															PRO"
JR Masterman SE,Phillipsburg BE,"Sara Kelly																																						Salinda Lewis																																						Jason Ren","Pro																															Con																															Pro","2-1																															PRO"
Princeton WJ,Brooklyn Technical JN,"Seema Nadeem																																						Noelle Abbott																																						Anne Albert","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science SS,Chapin WI,"Paul Glenn																																						Gordon Wilson																																						Jessica Tai","Con																															Con																															Con","3-0																															CON"
Pittsburgh Central Catholic BM,Academy at Palumbo SC,"Riya Bundele																																						Sharron Tang																																						Charlie Grabois","Pro																															Pro																															Pro","3-0																															PRO"
BASIS Independent McLean LB,Princeton CB,"Kimberly Guise																																						Bill Foster																																						Venkata sunil kumar Aleti","Con																															Con																															Con","3-0																															CON"
Walt Whitman BM,Ridge SB,"Sreelatha Purushothaman																																						Samaya Talluru																																						Jennifer Dombroskie","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science OS,Clarksburg CK,"Manu Anand																																						Kenneth Donnelly																																						Eric Trinh","Pro																															Con																															Pro","2-1																															PRO"
James Madison KP,James Madison SS,,James Madison KP advances,James Madison KP advances
State College Area DF,Byram Hills CC,,"Pro BYE																									Con FFT","Pro BYE																									Con FFT"
