Pro,Con,Judges,Votes,Win
Bronx Science OS,Chapin MS,"Anne Albert																																						Mouctar Diarra																																						Luigi Auquilla","Pro																															Con																															Pro","2-1																															PRO"
State College Area DF,Ridge ZM,"Michael DePasquale																																						Richard Nash																																						Curran McQuade","Con																															Con																															Con","3-0																															CON"
Walt Whitman BM,Phillipsburg AbDe,"David Cho																																						Justin Bi																																						Eric Trinh","Pro																															Con																															Pro","2-1																															PRO"
Princeton CB,JR Masterman WE,"Sreelatha Purushothaman																																						Charlie Grabois																																						Marcus Perez","Pro																															Con																															Pro","2-1																															PRO"
JR Masterman CD,Pittsburgh Central Catholic BM,"Kenneth Donnelly																																						Jennifer Dombroskie																																						Jeff He","Pro																															Pro																															Pro","3-0																															PRO"
James Madison KP,Lexington SM,"Alison Wicher																																						Seema Nadeem																																						Jessica Tai","Con																															Con																															Con","3-0																															CON"
Collegiate AS,Chapin WI,"Benjamin Geffen																																						Kimberly Guise																																						Jason Ren","Con																															Con																															Con","3-0																															CON"
Princeton WJ,JR Masterman SE,"Lisa Gring-Pemble																																						Sara Kelly																																						Ashok Kasarla","Pro																															Pro																															Pro","3-0																															PRO"
