Aff,Neg,Judge,Result
Immaculate Heart MF,Harvard-Westlake AW,Joseph Barquin,Neg
Marlborough ZG,Harker AA,Anish Ramireddy,Neg
Brentwood MM,Immaculate Heart OV,,"Aff BYE																									Neg FFT"
Brentwood BB,Marlborough JH,Madeleine Conrad-Mogin,Neg
Harker SD,Peninsula WW,Ki Radcliffe,Neg
Harker SS,Brentwood AR,Rebecca Steiner,Neg
Marlborough MJ,Homestead SL,Kaitlyn Campbell,Neg
Marlborough SL,Mountain View EN,Jonah Gentleman,Aff
Harker AV,Immaculate Heart AW,Michelle Grant,Neg
Peninsula KD,Marlborough AK,Serena Lu,Neg
Marlborough KM,Vestavia Hills GJ,Sam Larson,Neg
Harker DV,Aragon ZA,Dylan Liu,Aff
Marlborough LF,Harvard-Westlake MT,David Kilpatrick,Neg
Marlborough HH,Brentwood AL,George Zhang,Aff
Immaculate Heart EL,Peninsula EL,Emmiee Malyugina,Neg
Harker RM,Ayala AM,Vishnu Vennelakanti,Neg
Marlborough RJ,Harker PG,Asher Towner,Neg
Marlborough VA,Immaculate Heart SS,Leah Clark-Villanueva,Aff
Harker DS,Immaculate Heart RR,Claudia Ribera,Neg
Immaculate Heart ES,Marlborough ML,Ari Davidson,Neg
Immaculate Heart SP,Brentwood ZL,Sachin Shah,Aff
Harvard-Westlake EJ,Harker GS,Elijah Smith,Aff
Peninsula AL,Marlborough JK,,"Aff BYE																									Neg BYE"
Harker SaSe,Sage Hill RC,Kate Totz,Neg
Harker AP,Brentwood SH,Nikki Aqui,Neg
Vestavia Hills DS,Harker RA,Louisa Melcher,Aff
Harvard-Westlake ML,Marlborough LK,Lindsey Williams,Neg
Harker NA,Marlborough PS,David Dosch,Aff
Harvard-Westlake NL,Brentwood MH,parth misra,Aff
Wyoming Virtual JC,,,
