Aff,Neg,Judges,Votes,Win
Strake Jesuit  KS,Dulles VN,"Anna Myers																																						Bennett Dombcik																																						Alexandra Mork","Aff																															Aff																															Aff","3-0																															AFF"
Harker MK,Greenhill AK,"Benjamin Morbeck																																						Chris Castillo																																						David Griffith","Aff																															Neg																															Aff","2-1																															AFF"
