Pro,Con,Judges,Votes,Win
Charlotte Latin BC,Strake Jesuit  NC,"Ayan Bakshi																																						Sripad Yadagiri																																						Jordana Bales","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  MS,St Mary's Hall MJ,"Amanda Lopez																																						Nathan Laude																																						John Lutterman","Con																															Con																															Pro","2-1																															CON"
Plano West BA,Plano Senior GS,"Charlie Walker																																						Arjun Nair																																						Rachel Scharff","Pro																															Pro																															Con","2-1																															PRO"
Seven Lakes TO,Westwood SP,"Ishan Dubey																																						Arrman Kapoor																																						Amey Sharma","Con																															Con																															Con","3-0																															CON"
Seven Lakes CL,Southlake Carroll GW,"Grant Barden																																						Romeer Pillay																																						Cherie Wang","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  CM,Jasper XJ,"Charlie Yang																																						Eliza Avramova																																						Feifan Liu","Pro																															Pro																															Pro","3-0																															PRO"
Westlake GR,Strake Jesuit  KH,"Satvik Mahendra																																						Josh Reynolds																																						Cameron Ingram","Pro																															Pro																															Pro","3-0																															PRO"
Avenues: The World CB,Southlake Carroll CV,"Sripad Yadagiri																																						Bilal Butt																																						Jordana Bales","Pro																															Pro																															Pro","3-0																															PRO"
Plano West ZZ,Keystone PL,"Charlie Walker																																						Arjun Nair																																						Rachel Scharff","Pro																															Pro																															Pro","3-0																															PRO"
St Mary's Hall BA,Strake Jesuit  HJ,"Charlie Yang																																						Eliza Avramova																																						Feifan Liu","Con																															Con																															Con","3-0																															CON"
Southlake Carroll ST,St John's SH,"David Lu																																						John Lutterman																																						Shashwath Balaji","Pro																															Pro																															Pro","3-0																															PRO"
Stratford WW,Southlake Carroll GF,"Cale McCrary																																						Jamie Brashear																																						Gia Patel","Pro																															Pro																															Con","2-1																															PRO"
Westwood TX,Westlake RM,"Arrman Kapoor																																						David Lu																																						Shashwath Balaji","Pro																															Con																															Con","2-1																															CON"
Seven Lakes WJ,Jasper MY,"Cale McCrary																																						Jamie Brashear																																						Gia Patel","Pro																															Con																															Pro","2-1																															PRO"
Seven Lakes EM,Southlake Carroll DT,"Grant Barden																																						Romeer Pillay																																						Cherie Wang","Con																															Con																															Con","3-0																															CON"
Charlotte Latin WR,Bronx Science AM,"Tuyen Le																																						Dev Sharma																																						Troy Stone","Pro																															Pro																															Pro","3-0																															PRO"
