Aff,Neg,Judge,Win
Isidore Newman WC,Westwood DV,Rodrigo Paramo,Aff
Memorial CS,Bronx Science KL,Tyler Thur,Aff
Edgemont AP,West Des Moines Valley AM,Justin Wen,Aff
Apple Valley ZC,Monta Vista SC,Adam Torson,Neg
Marlborough SMe,Harker NB,David Dosch,Neg
Brophy AM,Westwood AV,Jim Sydnor,Neg
Brophy MC,Edina VS,Tom Woodhead,Aff
Harker TP,Memorial EJ,Ishan Rereddy,Neg
Marlborough KM,Edgemont AG,Andrew Brandt,Aff
Marquette GY,American Heritage Broward CB,Calvin Tyler,Neg
Altamont MC,Interlake AA,Ilan Boguslavsky,Aff
Strake Jesuit  JW,American Heritage Broward SM,Nathan Weimar,Aff
St Luke's SM,Harker RG,Truman Le,Aff
Harker AA,American Heritage Broward MC,Truman Le,Aff
Harker SSh,Greenhill SK,Harry Yu,Neg
Strake Jesuit  AYa,Trinity Prep SH,Shreeram Modi,Aff
Harvard-Westlake DB,Harker SS,Nigel Taylor-Ward,Neg
West Des Moines Valley DN,Altamont WM,Stephen Scopa,Neg
Strake Jesuit  SR,Kinkaid CM,Tajaih Robinson,Neg
Immaculate Heart NH,Westwood RN,Andrew Brandt,Aff
Flintridge Prep IL,Harvard-Westlake JT,Adam Lipton,Aff
Westwood AS,Theodore Roosevelt IR,Michaela Northrop,Neg
West Des Moines Valley JC,Bronx Science CH,Martin Sigalow,Aff
Brophy NR,Harrison FW,Patrick Tapia,Neg
Altamont JS,Isidore Newman JJ,Frasat Chaudhry,Neg
Immaculate Heart ES,Harker LC,Elle Dershewitz,Aff
St Francis JC,Flintridge Prep BM,Jeremy Kim,Neg
Lynbrook BZ,St Francis ZC,Brandon Lin,Aff
Harker SD,Edgemont VS,Harry Yu,Aff
Harrison AG,Lynbrook VV,Joey Antonelli,Neg
Greenhill EX,Plano West NS,Amanda Ciocca,Neg
Lynbrook OM,Horace Greeley SG,Vontrez White,Aff
Archbishop Mitty AM,Hawken BM,Samantha McLoughlin,Neg
Marlborough FM,Greenhill DM,Adam Lipton,Neg
American Heritage Broward CM,Harvard-Westlake MR,Ishan Rereddy,Neg
Bronx Science LS,Marlborough LS,Elizabeth Elliott,Neg
Harker LL,Altamont MF,Avery Wilson,Neg
American Heritage Palm Beach NI,Westwood DR,Riley Ro,Aff
West Des Moines Valley LS,Horace Greeley CC,Vontrez White,Aff
Plano West AR,Marlborough AM,Ilan Boguslavsky,Aff
Coppell KT,Lynbrook AS,Mark Kivimaki,Aff
Strake Jesuit  LC,Lake Highland Prep NA,Shreeram Modi,Neg
Horace Greeley AM,Newark Science AO,Tajaih Robinson,Aff
Marlborough RB,Harvard-Westlake KM,Nick Loew,Neg
Avon SJ,Harrison AGa,Anthony Berryhill,Aff
Isidore Newman DC,Monta Vista EY,Aaron Kim,Neg
Westwood TG,Isidore Newman SE,David Asafu-Adjaye,Neg
Westridge EK,Altamont SB,Eva Lamberson,Neg
Memorial BL,Edina SJ,Elijah Smith,Aff
Lake Highland Prep AW,Harrison AN,Brie Thomas McGinnis,Aff
Marlborough OO,George Washington IF,Mark Kivimaki,Aff
Plano West SG,Marlborough JG,Scott Phillips,Aff
Marlborough CS,Barrington AC,Dedeepya Rudraraju,Neg
Meadows TB,Flintridge Prep OL,Tyler Thur,Aff
Strake Jesuit  KS,Harker AS,Elizabeth Elliott,Neg
Flintridge Prep CX,Lake Highland Prep CG,Samantha McLoughlin,Aff
Harvard-Westlake LS,Greenhill VT,Clare Bradley,Neg
Marlborough LF,Cary Acad PL,Justin Wen,Neg
West Des Moines Valley LV,Westwood AT,Jack Gessner,Neg
McDowell GW,Trinity Prep CK,Breanna Wollman,Neg
Greenhill AK,Sonoma AM,Clare Bradley,Aff
Memorial AW,Waring MB,Gianna Ledesma,Neg
Edina AJ,St Luke's MW,Rodrigo Paramo,Neg
William Fremd AJ,Barrington MR,Taylor Tsan,Aff
William Fremd EF,American Heritage Broward ES,Wyatt Hatfield,Neg
Brophy VW,Pine View PB,Brandon Lin,Aff
Trinity Prep GP,Durham GW,Amanda Ciocca,Neg
