Aff,Neg,Judge,Win
Barrington AC,Marlborough KM,Ilan Boguslavsky,Aff
Bronx Science CH,Strake Jesuit  SR,Jeremy Kim,Neg
Marlborough JG,Greenhill EX,Adam Lipton,Neg
Marlborough AM,Strake Jesuit  JW,Nick Loew,Aff
George Washington IF,Harker AA,Chris Castillo,Neg
Lake Highland Prep CG,Altamont JS,Derek Han,Aff
Pine View PB,Avon SJ,Elle Dershewitz,Aff
Barrington MR,Brophy AM,Lauren Schuster,Aff
Harvard-Westlake MR,Bronx Science LS,Adam Lipton,Neg
Trinity Prep CK,Memorial BL,Chetan Hertzig,Neg
Cary Acad PL,Lynbrook OM,Vratin Mankidy,Neg
Harvard-Westlake JT,Horace Greeley AM,Elle Dershewitz,Neg
St Luke's MW,Strake Jesuit  KS,Andrew Brandt,Aff
Sonoma AM,Coppell KT,David Asafu-Adjaye,Neg
Flintridge Prep BM,Harker SSh,Truman Le,Neg
Harker LC,Lake Highland Prep AW,Avery Wilson,Aff
Isidore Newman JJ,Harrison AG,Tajaih Robinson,Neg
Lynbrook VV,Flintridge Prep CX,Tyler Thur,Aff
Edgemont VS,Harker TP,David Dosch,Neg
Newark Science AO,William Fremd AJ,Cyrus Jackson,Aff
Kinkaid CM,Westwood AS,Raunak Dua,Neg
Harvard-Westlake KM,Harker SD,Adam Torson,Aff
Horace Greeley CC,Archbishop Mitty AM,Truman Le,Aff
Altamont MF,Marlborough OO,Aaron Kim,Neg
Westwood DR,Marquette GY,Wyatt Hatfield,Neg
Harrison AGa,West Des Moines Valley DN,Calvin Tyler,Aff
Horace Greeley SG,Brophy MC,Jack Borman,Aff
Hawken BM,Memorial CS,Soohyuk Yoon,Neg
Plano West NS,Lynbrook BZ,Rose Larson,Neg
St Francis ZC,Strake Jesuit  AYa,Dedeepya Rudraraju,Neg
Westwood AT,Harvard-Westlake DB,Shreeram Modi,Neg
American Heritage Broward MC,William Fremd EF,Vratin Mankidy,Aff
Altamont WM,Edgemont AP,Aaron Kim,Neg
Altamont SB,Marlborough LF,Ava Wegmann-Gatarz,Aff
American Heritage Broward SM,Plano West SG,Tajaih Robinson,Neg
Edina SJ,St Francis JC,Brandon Lin,Aff
Bronx Science KL,McDowell GW,Clare Bradley,Aff
Flintridge Prep OL,American Heritage Broward CM,Justin Wen,Neg
Isidore Newman SE,Marlborough SMe,Justin Wen,Aff
Harker AS,Immaculate Heart NH,Adam Torson,Neg
Marlborough LS,Immaculate Heart ES,Scott Phillips,Neg
Edina VS,Westridge EK,Elizabeth Elliott,Aff
Edgemont AG,Harvard-Westlake LS,Chris Castillo,Aff
Waring MB,Marlborough FM,Jordan Keller,Aff
Monta Vista EY,St Luke's SM,Briajia Levi,Aff
Trinity Prep SH,Brophy NR,Ivan Lin,Neg
Monta Vista SC,Harker LL,Ava Wegmann-Gatarz,Neg
Harker SS,Plano West AR,Elizabeth Elliott,Neg
Lynbrook AS,Marlborough CS,Gianna Ledesma,Aff
Interlake AA,Apple Valley ZC,Breanna Wollman,Neg
Greenhill SK,Isidore Newman DC,David Asafu-Adjaye,Aff
Harrison AN,Westwood TG,Frasat Chaudhry,Aff
Harker NB,Flintridge Prep IL,Avery Wilson,Neg
Memorial EJ,Greenhill AK,Amanda Ciocca,Neg
Greenhill DM,Memorial AW,Soohyuk Yoon,Aff
Westwood AV,West Des Moines Valley LV,Nigel Taylor-Ward,Neg
West Des Moines Valley AM,Edina AJ,Patrick Tapia,Neg
Greenhill VT,Brophy VW,Samantha McLoughlin,Aff
Harrison FW,Isidore Newman WC,Frasat Chaudhry,Aff
Westwood RN,Strake Jesuit  LC,Taylor Tsan,Neg
Westwood DV,Altamont MC,Nigel Taylor-Ward,Aff
Theodore Roosevelt IR,American Heritage Palm Beach NI,Krizel Guansing,Neg
American Heritage Broward ES,West Des Moines Valley JC,Michael Harris,Neg
Lake Highland Prep NA,Marlborough RB,Andrew Brandt,Neg
Harker RG,Meadows TB,Ishan Rereddy,Neg
Durham GW,West Des Moines Valley LS,Mark Kivimaki,Aff
American Heritage Broward CB,Trinity Prep GP,Nathan Weimar,Neg
