Aff,Neg,Judge,Win
St Francis JC,Greenhill SK,Samantha McLoughlin,Neg
Meadows TB,Lynbrook AS,Scott Phillips,Aff
Edina AJ,West Des Moines Valley LV,Parker Klyn,Neg
Barrington AC,Bronx Science LS,Rose Larson,Neg
Strake Jesuit  AYa,Flintridge Prep IL,Mark Kivimaki,Neg
Avon SJ,Harvard-Westlake JT,Chetan Hertzig,Neg
Isidore Newman DC,McDowell GW,Frasat Chaudhry,Aff
Brophy MC,Harker NB,Elijah Smith,Neg
Westwood RN,Bronx Science CH,Jordan Keller,Aff
American Heritage Broward CM,Harvard-Westlake LS,Shreeram Modi,Aff
Marlborough RB,Isidore Newman JJ,Rodrigo Paramo,Aff
Trinity Prep CK,Memorial AW,Alexandra Mork,Neg
West Des Moines Valley DN,Trinity Prep SH,Jack Borman,Neg
Westwood AT,Flintridge Prep CX,Justin Wen,Aff
Harker TP,Strake Jesuit  KS,Shreeram Modi,Aff
Marlborough OO,Horace Greeley SG,Andrew Brandt,Neg
Edgemont VS,American Heritage Broward CB,Truman Le,Aff
Lake Highland Prep AW,Marlborough LF,Mark Kivimaki,Neg
Lake Highland Prep NA,Strake Jesuit  SR,Jack Borman,Aff
Greenhill EX,Altamont WM,Soohyuk Yoon,Aff
Hawken BM,Harvard-Westlake DB,Jack Gessner,Neg
Altamont MC,Brophy NR,Elizabeth Elliott,Neg
Monta Vista EY,American Heritage Palm Beach NI,Vontrez White,Aff
Harrison AGa,Marlborough AM,Joey Antonelli,Neg
Greenhill VT,Marlborough SMe,Alexandra Mork,Neg
William Fremd EF,Memorial EJ,Taylor Tsan,Neg
Memorial BL,Harker SSh,Jasmine Stidham,Neg
Harker RG,Isidore Newman SE,Chris Castillo,Aff
Edina VS,Westwood AS,Krizel Guansing,Aff
Greenhill AK,Apple Valley ZC,Tajaih Robinson,Aff
Altamont MF,Trinity Prep GP,Stephen Scopa,Neg
George Washington IF,Westwood TG,Chris Gentry,Neg
Edgemont AG,Harker LL,Alex Pulcine,Neg
West Des Moines Valley JC,Lynbrook BZ,Nathan Weimar,Neg
Bronx Science KL,West Des Moines Valley LS,Chris Castillo,Neg
Brophy AM,Harker SS,Michaela Northrop,Neg
Westwood DR,Pine View PB,Taylor Tsan,Neg
West Des Moines Valley AM,St Luke's SM,Michael Harris,Neg
Horace Greeley CC,Harvard-Westlake KM,Chetan Hertzig,Neg
American Heritage Broward ES,Lynbrook VV,Samantha McLoughlin,Neg
Altamont JS,Edina SJ,Rose Larson,Aff
Harker SD,Horace Greeley AM,Truman Le,Aff
Plano West NS,Harker AS,Avery Wilson,Aff
Harrison AN,Archbishop Mitty AM,Elizabeth Elliott,Aff
Newark Science AO,Flintridge Prep BM,Andrew Brandt,Aff
Strake Jesuit  LC,St Francis ZC,Jeremy Kim,Neg
Harrison FW,Harker AA,Harry Yu,Aff
Interlake AA,Marlborough CS,Aaron Kim,Neg
Marlborough FM,Theodore Roosevelt IR,Tyler Thur,Aff
Coppell KT,Harvard-Westlake MR,Elijah Smith,Aff
Strake Jesuit  JW,Harker LC,Ishan Rereddy,Neg
Edgemont AP,Flintridge Prep OL,Ilan Boguslavsky,Neg
Monta Vista SC,Westwood DV,Jasmine Stidham,Neg
Marlborough KM,Greenhill DM,Scott Phillips,Neg
Barrington MR,Altamont SB,Dedeepya Rudraraju,Neg
Marlborough LS,Memorial CS,Gianna Ledesma,Aff
Marquette GY,Cary Acad PL,Nathan Weimar,Neg
American Heritage Broward SM,Westridge EK,Vratin Mankidy,Neg
Brophy VW,Westwood AV,Aaron Kim,Aff
St Luke's MW,Lynbrook OM,Tim Alderete,Neg
Kinkaid CM,Sonoma AM,Cyrus Jackson,Neg
Durham GW,Plano West SG,Avery Wilson,Neg
Harrison AG,American Heritage Broward MC,David McGinnis,Aff
Isidore Newman WC,Immaculate Heart ES,Joey Antonelli,Neg
Immaculate Heart NH,Plano West AR,Nick Loew,Neg
Lake Highland Prep CG,Marlborough JG,Justin Wen,Aff
