Pro,Con,Judges,Votes,Win
Mountain Brook LiHa,Vestavia Hills AV,"Joseph McElroy																																		TJ Riggs																																		Carl Wright","Con																												Pro																												Pro","2-1																															PRO"
Mountain Brook SS,Wheeler DR,"Nadira Jeethandran																																		Ron Olienyk																																		Jay Rye","Con																												Con																												Pro","2-1																															CON"
