Aff,Neg,Judges,Votes,Result
Lincoln Southwest KP,Southlake Carroll AS,"Jack Tomsu																																		Jesse Nguyen																																		ian matuszeski","Aff																												Aff																												Neg","2-1																															AFF"
Don Tyson School of Innovation CC,Lincoln East EB,"Aaron Haake																																		Azza Elhaj																																		Victor Thoms","Neg																												Neg																												Neg","3-0																															NEG"
Southlake Carroll SD,Vista Del Lago CW,"Cammie Soderquist																																		Fred Robertson																																		Alex Goswami","Aff																												Aff																												Neg","2-1																															AFF"
Lincoln East LZ,Lincoln East BH,,Lincoln East LZ advances,Lincoln East LZ advances
Lakeville South KK,Solebury LN,"Will Sippel																																		David McGinnis																																		Seung Joh Cho","Aff																												Aff																												Neg","2-1																															AFF"
Solebury LM,,,,
Delphian CC,,,,
Lincoln East JZ,,,,
West Des Moines Valley RT,,,,
Lincoln North Star JH,,,,
Millard North NL,,,,
Charlotte Latin EL,,,,
West Des Moines Valley JS,,,,
Overlake GH,,,,
Colonial Forge SR,,,,
West Des Moines Valley MM,,,,
