Pro,Con,Judges,Votes,Win
Germantown Friends LZ,Regis NP,"Melissa Chu																																						Kate Sundeen																																						Tushar Katarki","Con																															Con																															Con","3-0																															CON"
Hawken MJ,Regis FM,"Jennifer Rankin																																						Ewa Misiewicz																																						Kenneth Donnelly","Pro																															Con																															Con","2-1																															CON"
Avenues: The World CB,Richard Montgomery WY,"Tieying Huang																																						Jun Yan																																						Vikram Saigal","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman WE,Scarsdale LZ,"Sarah Bi																																						Gregory Cole																																						John Michael Streithorst","Con																															Con																															Con","3-0																															CON"
Stuyvesant HM,Horace Mann CP,"Zhane Lloyd																																						Jordana Bales																																						Jamie Brashear","Con																															Pro																															Pro","2-1																															PRO"
Langley CG,Delbarton AX,"Cameron Mays																																						David Biviano																																						Xinkai Wu","Pro																															Con																															Pro","2-1																															PRO"
River Hill BT,Regis AD,"Becky Weaver																																						Jennifer Pennington																																						Lynn Kong","Con																															Pro																															Pro","2-1																															PRO"
Summit BM,Delbarton WR,"Jisang Kymm																																						Sunny Chu																																						Anand Choubey","Pro																															Pro																															Pro","3-0																															PRO"
Hunter TV,Richard Montgomery LW,"Kurtis Lee																																						bill Harrington																																						Atreyi Basu","Con																															Pro																															Con","2-1																															CON"
Millburn CW,Summit SZ,"Bob Shurtz																																						Jeffrey Liao																																						Krishna Chandrasekharan","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman SE,Durham ŞE,"Richard Nash																																						Brad Biswas																																						Rahul Kalavagunta","Pro																															Pro																															Pro","3-0																															PRO"
Medina Senior GW,Pingry WP,"Erjon Popllo																																						Adelle Fernando																																						Ivana Gvozdenovic","Con																															Pro																															Pro","2-1																															PRO"
Lexington ML,Bronx Science MG,"Nathaniel Sasenarine																																						Sankar Rajesh Sankarasubban																																						Kelly Lao","Pro																															Pro																															Pro","3-0																															PRO"
Strath Haven DZ,Meridian LN,"Noah Mengisteab																																						Alex Huang																																						Aidan Gouley","Con																															Con																															Con","3-0																															CON"
Bronx Science CB,Regis LN,"Sasha Cara																																						Crawford Leavoy																																						Yongshun Lin","Pro																															Pro																															Pro","3-0																															PRO"
Bergen County Academies LS,Lexington MS,"Chids Mahadevan																																						Ethan Roytman																																						Vivian Zhu","Pro																															Pro																															Pro","3-0																															PRO"
