Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Trinity Prep JC,Harker DS,Jason Alford,Aff,29,29
American Heritage Broward MC,Strake Jesuit  NW,Kristen Arnold,Neg,29,30
Southlake Carroll SD,Academy Of Classical Christian Studies JM,Matthew Berhe,Aff,30,30
Carnegie Vanguard SR,Lexington AT,Sanjana Bhatnagar,Neg,30,30
Christopher Columbus AM,Durham SA,Luiz Bravim,Neg,28,29
Sharon RG,Monta Vista RD,Sneh Chachra,Neg,28,29
Our Lady of Lourdes GP,American Heritage Broward SS,Curtis Chang,Neg,28,26
Strake Jesuit  DA,Trinity Prep MZ,Jeong-Wan Choi,Aff,29,28
Lexington AM,Durham RL,Sam Cogen,Neg,28,28
Strake Jesuit  JW,Scarsdale BS,Keshav Dandu,Aff,30,29
American Heritage Broward NR,Strake Jesuit  KS,Sreyaash Das,Neg,29,30
Strake Jesuit  VM,Park City NL,Abhilash Datti,Aff,29,29
Strawberry Crest SC,Bentonville VK,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
FAU EI,Bentonville JH,Matthew Doggett,Neg,28,28
Strath Haven AM,King AT,Faizaan Dossani,Neg,29,29
William G. Enloe AR,Scarsdale KS,Henry Eberhart,Aff,29,29
Pine View EL,Lexington EY,Jayanne Forrest,Aff,29,29
Nova CD,Christopher Columbus NG,Kristine Forster,Aff,26,28
Dougherty Valley KZ,Bronx Science RP,Tej Gedela,Neg,29,29
Trinity Prep LK,Brookfield East DJ,Wyatt Hatfield,Neg,28,27
Trinity Prep NC,Bronx Science CC,David Herrera,Aff,28,28
Neenah SH,Lake Highland Prep AV,Arjan Kang,Neg,28,28
Lexington JB,Strake Jesuit  JK,Saketh Kotapati,Neg,29,29
Lexington AR,Scarsdale DD,Lukas Krause,Aff,28,27
King CP,Strake Jesuit  EP,Rohit Lakshman,Neg,29,29
Bellarmine  AK,Coral Springs LV,Rafael Li,Aff,30,28
Monta Vista KR,Lake Highland Prep AB,Samantha McLoughlin,Aff,29,28
Lexington BF,Prospect ST,Arun Mehra,Aff,29,29
East Chapel Hill NC,Neenah IH,Jacqueline Melendez,Aff,28,26
Durham JH,Aragon ZA,Eshwar Mohan,Neg,28,28
Lake Highland Prep AVe,Lexington AG,Breigh Plat,Neg,28,29
American Heritage Broward JA,BASIS Independent Silicon Valley SK,Tajaih Robinson,Neg,29,29
Southlake Carroll EP,Durham BG,Moon Roy,Neg,29,30
Lake Travis MA,Strawberry Crest AK,Meera Sehgal,Aff,28,28
Scarsdale OL,Lexington VM,James Stuckert,Neg,29,29
Lake Highland Prep ArVe,Strake Jesuit  MS,Rohith Sudhakar,Aff,30,29
Cardinal Gibbons RS,American Heritage Broward MR,Eugene Toth,Aff,29,28
