Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Dougherty Valley KZ,East Chapel Hill NC,Kristen Arnold,Neg,29,29
Neenah SH,Scarsdale OL,Matthew Berhe,Neg,29,29
Lexington EY,Aragon ZA,Sanjana Bhatnagar,Neg,28,28
Trinity Prep LK,Coral Springs LV,Dayanand Bhojak,Neg,28,29
Neenah IH,Lexington AM,Sabrina Callahan,Aff,29,25
King AT,Strake Jesuit  KS,Jeong-Wan Choi,Neg,29,30
Christopher Columbus AM,American Heritage Broward NR,Will Clark,Neg,28,28
Lexington AR,Lake Travis MA,Raunak Dua,Aff,29,28
Scarsdale DD,Lexington AG,Keshav Dandu,Neg,29,30
Strake Jesuit  MS,American Heritage Broward JA,Sreyaash Das,Aff,29,29
Our Lady of Lourdes GP,Monta Vista KR,Amadea Datel,Neg,29,29
Harker DS,Lexington JB,Abhilash Datti,Neg,28,29
Brookfield East DJ,Lake Highland Prep AVe,Jackson DeConcini,Aff,29,28
William G. Enloe AR,Durham BG,Jose Denis,Neg,28,29
Durham JH,Cardinal Gibbons RS,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Durham SA,Strake Jesuit  EP,Faizaan Dossani,Neg,28,29
Bronx Science CC,Strath Haven AM,Tej Gedela,Neg,29,29
American Heritage Broward MR,Durham RL,BECKY HALL,Aff,29,28
Prospect ST,Nova CD,Wyatt Hatfield,Aff,30,28
Christopher Columbus NG,King CP,Sam Cogen,Neg,28,29
Lexington VM,American Heritage Broward SS,David Herrera,Aff,30,29
BASIS Independent Silicon Valley SK,Strake Jesuit  DA,Arjan Kang,Neg,29,29
Strake Jesuit  VM,Scarsdale BS,Rohit Lakshman,Aff,30,29
Bentonville VK,Strawberry Crest AK,Lotem Levy,Aff,28,28
Strake Jesuit  JW,Southlake Carroll SD,Samantha McLoughlin,Neg,28,28
Lake Highland Prep AV,American Heritage Broward MC,Arun Mehra,Neg,29,29
Carnegie Vanguard SR,FAU EI,Eshwar Mohan,Aff,29,28
Scarsdale KS,Park City NL,Javier Navarrete,Aff,30,29
Lake Highland Prep AB,Pine View EL,Blake Ochoa,Aff,28,27
Lake Highland Prep ArVe,Bellarmine  AK,Tajaih Robinson,Aff,30,29
Strake Jesuit  JK,Bentonville JH,Ayush Saha,Aff,30,30
Southlake Carroll EP,Trinity Prep MZ,Meera Sehgal,Aff,30,28
Lexington AT,Academy Of Classical Christian Studies JM,James Stuckert,Aff,29,29
Strake Jesuit  NW,Bronx Science RP,Nigel Taylor-Ward,Aff,29,28
Sharon RG,Trinity Prep JC,Eugene Toth,Aff,29,28
Strawberry Crest SC,Lexington BF,Megan Wu,Neg,28,29
Monta Vista RD,Trinity Prep NC,nikita tanguturi,Aff,29,28
