Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Bronx Science RP,William G. Enloe AR,Jackson DeConcini,Aff,28,28
Park City NL,Lexington EY,Breigh Plat,Aff,29,28
King CP,Dougherty Valley KZ,Matthew Berhe,Neg,29,29
Bentonville JH,BASIS Independent Silicon Valley SK,Sanjana Bhatnagar,Neg,27,29
Bellarmine  AK,Prospect ST,Sabrina Callahan,Aff,30,29
Lake Highland Prep AVe,American Heritage Broward MR,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Strawberry Crest AK,Christopher Columbus AM,Sam Cogen,Neg,28,28
Trinity Prep NC,Strake Jesuit  MS,Keshav Dandu,Neg,28,29
Scarsdale OL,Brookfield East DJ,Faizaan Dossani,Aff,29,29
East Chapel Hill NC,Strawberry Crest SC,Amadea Datel,Aff,28,28
Strake Jesuit  EP,Bronx Science CC,Abhilash Datti,Aff,29,28
FAU EI,Trinity Prep LK,Jose Denis,Neg,26,27
Durham BG,Lexington VM,Kristen Arnold,Neg,28,29
Strath Haven AM,Strake Jesuit  JK,Raunak Dua,Aff,29,28
Cardinal Gibbons RS,Monta Vista RD,Henry Eberhart,Aff,30,29
Lake Travis MA,Neenah SH,Natalie Fernandez,Aff,30,28
Monta Vista KR,Lexington AT,Jayanne Forrest,Neg,29,29
Academy Of Classical Christian Studies JM,Lake Highland Prep AB,Tej Gedela,Neg,29,29
Aragon ZA,Harker DS,Wyatt Hatfield,Aff,30,29
Southlake Carroll SD,Durham SA,Eric He,Aff,29,29
Pine View EL,Scarsdale DD,David Herrera,Aff,28,28
American Heritage Broward MC,Neenah IH,Arjan Kang,Aff,29,28
Lexington AM,Lake Highland Prep AV,Rohit Lakshman,Neg,28,28
Coral Springs LV,Christopher Columbus NG,Jung Park,Aff,29,28
Lexington AG,Lake Highland Prep ArVe,Samantha McLoughlin,Neg,29,29
Trinity Prep MZ,Lexington AR,Eshwar Mohan,Neg,28,28
Strake Jesuit  DA,Southlake Carroll EP,Brendon Morris,Neg,28,29
Scarsdale BS,Our Lady of Lourdes GP,Javier Navarrete,Aff,30,29
Nova CD,Lexington JB,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
American Heritage Broward JA,King AT,Ayush Saha,Neg,29,30
Strake Jesuit  JW,Durham JH,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
American Heritage Broward SS,Scarsdale KS,James Stuckert,Neg,29,29
Trinity Prep JC,Strake Jesuit  VM,Rohith Sudhakar,Neg,28,29
Durham RL,Carnegie Vanguard SR,Nigel Taylor-Ward,Neg,28,29
Strake Jesuit  KS,Sharon RG,Curtis Chang,Aff,29,28
American Heritage Broward NR,Bentonville VK,Megan Wu,Aff,29,28
Lexington BF,Strake Jesuit  NW,nikita tanguturi,Aff,29,29
