Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Maggie L. Walker Governor's DK,Harrison JC,Thaddeus Breckenridge,Neg,28,29
Cabot AC,Lexington AG,Kiarra Broadnax,Neg,29,29
Maggie L. Walker Governor's PT,Oak Grove FK,Jacob Lugo,Aff,28,28
Notre Dame San Jose AG,Harrison EM,Victor Chen,Aff,29,28
Cabot JO,Dulles VN,Daniel Ciocca,Neg,29,29
Coppell HA,Harrison JP,Dannise Brown,Aff,28,28
Harrison MB,Montgomery CH,Gabriel De Tuya,Aff,29,28
Coppell NC,Sequoyah WL,Adrian Esau,Neg,28,28
Nova JF,Bentonville West KM,Nelson Okunlola,Neg,29,29
Ardsley KK,Harrison AC,Stephanie Garrison,Aff,30,29
Riverwood GB,Durham SA,Morgan Holly,Neg,28,29
Mullen PS,JPG JF,John Sims,Aff,28,28
Maggie L. Walker Governor's AS,Little Rock Central XJ,Erick Huynh,Aff,29,27
Maggie L. Walker Governor's AP,Benjamin Franklin AH,Eva Isakovic,Neg,28,30
Christ Episcopal SM,Maggie L. Walker Governor's MG,Sanju John,Neg,28,29
Coppell EH,James Logan MA,Muhammad Khattak,Neg,28,28
Maggie L. Walker Governor's AB,Oak Grove RS,David Coates,Aff,28,28
South Eugene KS,Lovejoy JV,Jenna Wright,Aff,29,28
Caddo Magnet JH,Little Rock Central MG,Ryan Moon,Neg,28,30
Dulles NJ,Christopher Columbus AM,Oliver Ranner,Neg,29,30
Bronx Science IP,Orange County Arts AK,Anthony Berryhill,Aff,29,28
James Logan SB,Ramsay DF,Tajaih Robinson,Neg,29,29
Vestavia Hills DS,Valor Christian LS,Tim Rohrmann,Neg,27,30
Bronx Science CQ,Christ Episcopal CM,Daniel Shatzkin,Aff,27,27
Montgomery JA,West Broward EG,Austin Broussard,Neg,27,28
Riverwood LF,Maggie L. Walker Governor's AT,Joshua StPeter,Neg,29,29
Bridgeland PT,West Broward HP,Becca Steiner,Aff,29,28
Mercer Island KS,Bronx Science BC,Leigh Walters,Aff,30,29
Coppell NP,,,Aff BYE,Aff BYE,
