Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Bronx Science BC,Mullen PS,Wen Aihong,Aff,28,28
Bridgeland PT,Jonesboro NS,Anthony Berryhill,Aff,29,28
Riverwood GB,Maggie L. Walker Governor's DK,Austin Broussard,Neg,29,28
JPG JF,Vestavia Hills DS,Kiarra Broadnax,Neg,29,29
Bronx Science IP,Oak Grove FK,Daniel Brown,Aff,26,26
Ardsley KK,Orange County Arts AK,Ausha Curry,Neg,28,30
James Logan SB,Valor Christian LS,Amanda Ciocca,Neg,30,30
Mercer Island KS,Coppell NC,Daniel Ciocca,Aff,29,28
Christ Episcopal SM,Durham SA,Caleb Eaves,Neg,26,28
Maggie L. Walker Governor's AS,Harrison AC,Michael Fain,Neg,27,29
Bronx Science CQ,Nova JF,Buvana Ganesh,Aff,27,27
Harrison JP,Benjamin Franklin AH,David Coates,Aff,30,28
Harrison EM,Bentonville West KM,J Hammons,Aff,29,28
Sequoyah WL,Maggie L. Walker Governor's PT,Morgan Holly,Aff,28,27
Coppell HA,Maggie L. Walker Governor's AB,Timothy Huth,Aff,29,29
West Broward HP,Montgomery JA,Erick Huynh,Aff,28,28
Christopher Columbus AM,Harrison MB,Shahid Karim,Neg,25,28
Caddo Magnet JH,Riverwood LF,Kia Witt,Aff,28,28
Maggie L. Walker Governor's AT,Montgomery CH,Qing Li,Neg,28,29
Lovejoy JV,Christ Episcopal CM,Nelson Okunlola,Aff,29,28
Oak Grove RS,Coppell EH,Katy Moore,Neg,27,29
Maggie L. Walker Governor's MG,Little Rock Central MG,Phoenix Pittman,Neg,28,29
Dulles NJ,Cabot AC,Daniel Shatzkin,Aff,27,27
James Logan MA,Cabot JO,Joshua StPeter,Neg,28,28
Dulles VN,Little Rock Central XJ,Jacob Lugo,Neg,28,28
Lexington AG,Harrison JC,Brianna Tsitsera,Neg,29,29
Notre Dame San Jose AG,Coppell NP,Graham Wall,Aff,30,29
Maggie L. Walker Governor's AP,West Broward EG,Leigh Walters,Aff,28,28
South Eugene KS,Ramsay DF,Carleigh West,Aff,28,28
