Pro,Con,Judge,Win
Plano West CT,Southlake Carroll SD,Skyler Walker,Con
Plano West PK,Jasper KL,Dawn Paciotti,Con
Southlake Carroll PS,Rock Hill CG,Cadence Jones,Pro
Southlake Carroll YK,Southlake Carroll GW,,Southlake Carroll GW advances
