Pro,Con,Judges,Votes,Win
McLean ZK,Strath Haven DZ,"Caitlin Travers																																						Bia Takata																																						Rajul Mamgain","Con																															Con																															Con","3-0																															CON"
Bronx Science BS,Delbarton RK,"Jonah Sah																																						Gianna Colantuono																																						Rishabh Singh","Con																															Pro																															Pro","2-1																															PRO"
Millburn CL,Bethesda Chevy Chase SD,"Sarah Bi																																						Sunay Hegde																																						Kamalkant Maheshwari","Pro																															Pro																															Pro","3-0																															PRO"
Maret LH,Bridgewater Raritan SS,"Julio Cordero																																						Zhumei Guo																																						Rachel Strong","Con																															Con																															Con","3-0																															CON"
BASIS International School Shenzhen LT,Bronx Science AE,"Sunny Chu																																						Richard (Chip) Tompson																																						Tarah Kelley","Con																															Con																															Con","3-0																															CON"
Montville SS,Townsend Harris ML,"Henry Turner																																						Jon Willson																																						Kate Sundeen","Pro																															Pro																															Pro","3-0																															PRO"
Chapin MS,JR Masterman AS,"Nick Jacus																																						Wenyao Hu																																						George Tian","Pro																															Pro																															Con","2-1																															PRO"
Chapin KR,CR North MS,"John Jai																																						Suzane Jacobs																																						Kenneth Donnelly","Pro																															Pro																															Con","2-1																															PRO"
Millburn SX,Delbarton DV,"Maureen Lewis																																						Hyuna Kim																																						Margaret Molloy","Con																															Con																															Con","3-0																															CON"
Hunter TV,Pingry WP,"Sylvie Turk																																						Vivian Zhu																																						Jessica Ozimek","Con																															Con																															Con","3-0																															CON"
BC Academy ZM,Germantown Friends LZ,"Athanasios Lianos																																						Zaina Maqbool																																						Nolan Anthony","Con																															Pro																															Con","2-1																															CON"
Montville ZW,Hunter MM,"Chelsea Brandon																																						Henry Anastasi-Scott																																						Evan Bubniak","Pro																															Pro																															Con","2-1																															PRO"
Richard Montgomery WY,Strath Haven GL,"Preeti Choubey																																						Ivana Gvozdenovic																																						George Shi","Con																															Pro																															Con","2-1																															CON"
Mount Si GK,Richard Montgomery DW,"Elisa Galvan Alba																																						Sean Allen																																						Sankar Rajesh Sankarasubban","Con																															Con																															Pro","2-1																															CON"
CR North KV,Bridgewater Raritan SB,"Ethan Roytman																																						Sachin Soni																																						Tsaitami Duchicela","Pro																															Con																															Pro","2-1																															PRO"
Mount Si VS,Regis GG,"Benjamin Tang																																						Joshua Smullens																																						Liz Scott","Pro																															Con																															Con","2-1																															CON"
Richard Montgomery CX,,,,
Adlai E. Stevenson MW,,,,
Ridge BP,,,,
JR Masterman SE,,,,
Hunter SaSc,,,,
JR Masterman WE,,,,
Hunter GB,,,,
Bergen County Academies KP,,,,
Bronx Science MG,,,,
Bergen County Academies SL,,,,
Delbarton AX,,,,
Germantown SH,,,,
Hunter WT,,,,
Regis FM,,,,
Millburn CW,,,,
Regis AD,,,,
