Aff,Neg,Judges,Votes,Result
Vestavia Hills GJ,Strake Jesuit  JK,"Alex Berry																																		Jeff Swift																																		Oliver Ranner","Neg																												Neg																												Aff","2-1																															NEG"
Strake Jesuit  ID,Strake Jesuit  RC,,Strake Jesuit  ID advances,Strake Jesuit  ID advances
