Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Neenah SH,Iowa City West ST,Azza Elhaj,Neg,28,29
West Des Moines Valley RT,Millard North AR,Javier Hernandez,Aff,29,28
Iowa City West NW,Lincoln North Star JH,Animesh Joshi,Aff,29,29
Millard North JS,Brookfield East NR,Braedon Kirkpatrick,Aff,28,28
West Des Moines Valley AM,Millard North NL,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Brookfield East DJ,West Des Moines Valley SJ,Ian Matsuzeski,Aff,29,29
West Des Moines Valley GE,Lincoln North Star CB,Will Clark,Neg,27,28
Verona Area AG,Neenah NB,David Powell,Aff,29,28
Stockdale RP,West Des Moines Valley JS,Peter Yang,Neg,30,30
West Des Moines Valley MM,Marquette EZ,Kaija Snyder,Aff,30,29
Perry JA,Iowa City West JS,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Neenah IH,Bradley Tech HS,Sam Larson,Aff,28,27
