Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Isidore Newman DC,Strake Jesuit  OZ,Aryan Jasani,Neg,28.8,29.3
Southlake Carroll AS,Christopher Columbus TP,Austin Broussard,Aff,30.0,30.0
Village SZ,Harker NB,Ishan Rereddy,Aff,29.4,29.2
Lake Travis EG,Greenhill TH,Shania Hunt,Neg,28.0,28.7
Jordan CK,Village AW,Jaden Watt,Neg,27.0,28.5
Strake Jesuit  MMe,Concord Carlisle FZ,Tuyen Le,Neg,29.5,29.5
Clear Springs EG,Colleyville Heritage CB,Jarrid Pantel,Aff,27.5,27.5
Cabot KB,Dripping Springs AK,Kabir Buch,Neg,28.2,28.1
Westwood BS,Southlake Carroll NC,toby whisenhunt,Neg,28.7,28.8
Memorial MG,Isidore Newman JD,Tuyen Le,Aff,29.6,29.3
Harker VS,Southlake Carroll ASa,Erick Berdugo,Neg,28.0,28.1
Travis B. Bryan EC,Heights MW,Alexander Yoakum,Neg,28.9,29.0
Greenwich LW,Greenhill AK,Shania Hunt,Neg,29.3,29.5
Seven Lakes JF,Westwood AS,Amanda Johnson,Aff,28.3,28.1
Greenhill PR,Northland Christian AH,Blake Ochoa,Neg,28.7,29.7
Strake Jesuit  SV,Westlake MR,DH Henderson,Neg,29.5,29.7
Plano West NS,Kinkaid SZ,Alice Waters,Neg,28.8,29.1
New Tech HS @ B.F. Darrell EV,Colleyville Heritage SM,Leo Shao,Neg,"28.5																																																														2","28.8																																																														1"
Seven Lakes CO,Lake Travis ZL,Simin Chen,Aff,28.0,27.0
Harker AS,Garland AJ,Kelley Moore,Neg,28.6,29.4
Strake Jesuit  KM,Seven Lakes VS,Bodhi Rosen,Neg,30.0,30.0
Strake Jesuit  JW,Greenhill SK,Alice Waters,Aff,29.9,29.8
Cabot CT,Clear Lake RM,Aadi Patil,Neg,28.9,29.8
Lake Travis AS,Strake Jesuit  CB,William Mathison,Neg,28.3,28.7
Harker LC,Melissa AA,Asad Ahmed,Aff,29.9,29.8
L C Anderson MT,Village IR,Aashik Khakoo,Neg,28.0,29.0
Lake Travis NB,Bentonville AD,Simin Chen,Aff,27.0,26.5
Clear Lake CW,Harker SS,Joshua Adegoke,Neg,29.1,29.2
Northland Christian LM,Harker SD,Asad Ahmed,Neg,30.0,30.0
Awty International DC,Greenhill MA,Joshua Adegoke,Neg,29.3,29.5
Friendswood SS,Bentonville HA,Harry Yu,Aff,29.5,29.0
Jordan KV,Heights EP,Alexis Sibanda,Neg,29.2,29.8
Harker LL,Colleyville Heritage ES,toby whisenhunt,Aff,28.9,28.6
Westwood SM,Strake Jesuit  RC,Jack Quisenberry,Neg,28.5,29.1
Isidore Newman AB,BASIS Silicon Valley JK,Tyler Thur,Aff,29.3,29.2
Plano West NV,Friendswood LG,Amanda Johnson,Neg,28.2,28.3
BASIS San Antonio Shavano ZR,Southlake Carroll SK,Aashik Khakoo,Aff,28.0,28.0
Westlake AH,Flower Mound AM,William Mathison,Neg,29.4,29.5
St Mary's Hall SB,Plano West SK,Taryn Gonzalez,Neg,"29.0																																																														2","29.5																																																														1"
Elkins SS,Strake Jesuit  MM,Leo Shao,Neg,29.0,29.0
Greenhill DM,Plano West AE,Daksh Kapoor,Neg,28.0,29.0
Greenhill PS,St Mary's Hall WK,Claudia Ribera,Aff,29.2,29.1
Garland BK,Cornerstone ES,Taryn Gonzalez,Neg,28.0,29.0
Northland Christian JH,Acton-Boxborough NK,Diego Arcos,Aff,29.9,30.0
Heights SC,Strake Jesuit  AS,Alexander Yoakum,Aff,29.1,29.0
Flower Mound SD,Harker TP,Em Jackson,Neg,29.6,29.7
Coppell NM,Westwood AP,Brett Cryan,Neg,27.8,28.3
Harker AP,Jasper SG,Aryan Jasani,Aff,29.3,28.9
Plano West RC,Colleyville Heritage TS,Zi Wang,Aff,28.8,28.0
Village SL,Harker AA,Vratin Mankidy,Neg,28.2,28.8
Parkway JW,Isidore Newman SE,Jaden Watt,Neg,28.0,28.5
Southlake Carroll ASi,Memorial CSu,Robert Ashcraft,Neg,26.0,27.0
Harker RA,Klein Oak JW,Vratin Mankidy,Aff,29.4,29.3
Southlake Carroll IM,Strake Jesuit  CC,Robert Ashcraft,Aff,"26.0																																																														1","25.0																																																														2"
Winston Churchill PH,Strake Jesuit  SR,Ishan Rereddy,Aff,29.4,29.3
Kinkaid CM,St Thomas CO,Kabir Buch,Neg,27.3,27.7
Lamar AM,Strake Jesuit  LCh,Sebastian Cho,Aff,28.6,28.5
Colleyville Heritage GM,Memorial AZ,Aris Ferreira,Aff,30.0,26.0
McNeil AS,Clear Lake MK,Diego Arcos,Aff,30.0,29.9
Coppell PK,Plano West SW,Erick Berdugo,Aff,28.3,28.1
East Chapel Hill AX,Memorial CS,Austin Broussard,Neg,29.9,30.0
Winston Churchill JK,McNeil AB,Harry Yu,Aff,29.2,27.6
Southlake Carroll AB,Greenhill HG,Kelley Moore,Neg,29.2,29.8
Emerson AA,Garland BL,Zi Wang,Aff,27.5,27.0
Cary Acad DH,Jordan FJ,Daksh Kapoor,Neg,28.0,30.0
Valley Christian CL,Lovejoy TK,Sebastian Cho,Aff,28.7,28.6
Cary Acad PL,Memorial EJ,Temitope Ogundare,Neg,28.4,28.8
Cary Acad RR,Plano West AR,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
