Pro,Con,Judges,Votes,Win
Strath Haven BM,JR Masterman EK,"John Jai																																		Nicole Hoang																																		David Choi","Con																												Con																												Con","3-0																															CON"
Thomas S. Wootton DT,Princeton ZP,"Yiwen Wu																																		JESSICA OZIMEK																																		Anjan Joshi","Pro																												Pro																												Pro","3-0																															PRO"
BergenTech GN,Ridge ZhKh,"Rebecca Oxford-Bennett																																		Paul Glenn																																		Joey Huang","Con																												Pro																												Pro","2-1																															PRO"
BC Academy ZY,Millburn LW,"Keri Oldham																																		Mercy Wah																																		Benjamin Yao","Con																												Pro																												Pro","2-1																															PRO"
JR Masterman AC,Poly Prep Country Day ST,"Rose Oh																																		David Levin																																		Kusum Mundra","Pro																												Con																												Pro","2-1																															PRO"
Regis KS,Summit AB,"Zhane Lloyd																																		James Grey																																		Grisel Reyes","Pro																												Pro																												Pro","3-0																															PRO"
St Luke's GG,Stuyvesant HM,"Nick Jacus																																		AGNES SHEPARD																																		Bob Dolan","Con																												Pro																												Pro","2-1																															PRO"
Chapin IW,Thomas Jefferson HSST ZL,"Charlie Grabois																																		Jessica Wu																																		Willie Johnson","Pro																												Con																												Con","2-1																															CON"
BC Academy CX,Hunter QA,"Jordana Bales																																		Jameson DeSalu																																		Kat Butler","Con																												Pro																												Pro","2-1																															PRO"
Bronx Science WZ,Lake Mary Prep LM,"Roland Au-Yeung																																		Evan Bubniak																																		Edward Kemelmakher","Pro																												Pro																												Pro","3-0																															PRO"
Horace Mann LP,Princeton LT,"Kevin Solove																																		Liz Scott																																		Laura Mercedes","Pro																												Con																												Con","2-1																															CON"
Regis HT,Holton-arms LC,"Destiny Colbert																																		Pranav Palleti																																		Elaine Sun","Pro																												Pro																												Pro","3-0																															PRO"
Regis GM,McLean HW,"Jae Seo																																		Charles Huang																																		Sandy Hou","Con																												Con																												Con","3-0																															CON"
Ridge CuMa,University KH,"Alon Nozic																																		Georgina Emerson																																		John Quan","Pro																												Con																												Con","2-1																															CON"
Lexington FaVa,Bronx Science BG,"James Cohen																																		Laura Kane																																		Gaurav Wahi","Pro																												Con																												Pro","2-1																															PRO"
Bergen County Academies CK,Spence CC,"Bingjun Dai																																		George Tian																																		Paul Kane","Pro																												Pro																												Pro","3-0																															PRO"
