Pro,Con,Judges,Votes,Win
BC Academy CX,Bergen County Academies CK,"David Levin																																		Anjan Joshi																																		Charles Huang","Con																												Con																												Con","3-0																															CON"
Thomas S. Wootton DT,Bronx Science WZ,"George Tian																																		Liz Scott																																		Sophie Gala","Pro																												Pro																												Con","2-1																															PRO"
BergenTech GN,Princeton LT,"Yiwen Wu																																		Bingjun Dai																																		Paul Kane","Con																												Pro																												Pro","2-1																															PRO"
JR Masterman AC,McLean HW,"David Choi																																		Grisel Reyes																																		Riya Mitra","Pro																												Pro																												Pro","3-0																															PRO"
