Pro,Con,Judges,Votes,Win
Davidson Academy Online SW,Horace Mann CT,"Chitra Sekhar																																						Margaret Hsieh																																						Uthra Natarajan","Pro																															Pro																															Pro","3-0																															PRO"
Mission San Jose DW,Alliance RY,"Vikas Shah																																						Ann Scott Knight																																						Chris Young","Pro																															Pro																															Con","2-1																															PRO"
University VF,JR Masterman AE,"Apollo Wang																																						Prasun Mishra																																						Pushpendra Duhoon","Con																															Pro																															Con","2-1																															CON"
BASIS Peoria Independent VG,Trinity FY,"Chester Chamberlain																																						Shane Wang																																						Passa Pungchai","Con																															Pro																															Con","2-1																															CON"
Horace Mann JS,Leland LR,"Sankar Rajesh Sankarasubban																																						Matt Casas																																						Preston Stolte","Con																															Pro																															Pro","2-1																															PRO"
BASIS Peoria Independent AL,Chapin WI,"Sophia Gustafson																																						Jun Yan																																						Gopikrishna Eriki","Con																															Con																															Con","3-0																															CON"
Dalton MB,Joseph Nahas,"Seema Guru																																						Peter Ho																																						Leigh Fong","Con																															Con																															Pro","2-1																															CON"
Dublin H Independent CV,Horace Mann JF,"Jules Gibson																																						Grant Brown																																						Aditi Nigam","Pro																															Con																															Con","2-1																															CON"
Hamilton NS,Del Norte Independent CS,"Isaac Bardin																																						Sudha Kumar																																						Luke Sullivan","Con																															Con																															Pro","2-1																															CON"
Bergen County Academies LS,West Windsor Plainsboro South TR,"Victor Ma																																						Swetha Iyengar																																						David Liu","Pro																															Pro																															Pro","3-0																															PRO"
Mission San Jose KP,Leland YC,"Preetesh Mahendra																																						Sunil Bakhru																																						Rupal Patel","Con																															Pro																															Con","2-1																															CON"
Iowa City West KE,Strake Jesuit  WH,"Ashish Choubey																																						Julie Umansky																																						Raaghav Lele","Con																															Pro																															Con","2-1																															CON"
Alsion Montessori SS,Winston Churchill IM,"Brixz Gonzaba																																						Brooke Meints																																						Narendra Nallam","Pro																															Pro																															Pro","3-0																															PRO"
Notre Dame San Jose AS,Pine View MG,"Rohan Sundaram																																						Ravi Tiyyagura																																						Vikram Rao","Pro																															Pro																															Pro","3-0																															PRO"
Leland YL,University WA,"Evan Mao																																						Susie Li																																						Nathan Gong","Pro																															Pro																															Pro","3-0																															PRO"
Scarsdale LL,Del Norte Independent ZN,"David Cho																																						Marley Anthony																																						Murphy Chang","Pro																															Con																															Pro","2-1																															PRO"
Acton-Boxborough DM,Hamilton TN,"david wong																																						Pani Baruri																																						isaac appel","Pro																															Con																															Con","2-1																															CON"
Princeton CK,Summit AB,"Maximilian Peters																																						Gang Duan																																						Utkarsh Mohta","Pro																															Pro																															Pro","3-0																															PRO"
Dalton SC,Milpitas CV,"Gabriela Ogando																																						Varun Mandgi																																						Ting Chen","Pro																															Con																															Con","2-1																															CON"
River Hill BT,Chapin MS,"Andrew Thong																																						Ninad Tambe																																						Ethan Ramos","Pro																															Pro																															Pro","3-0																															PRO"
Emerald KG,Pacific Blue Prep ZW,"Michael Kirylau																																						Brian Mendelsohn																																						Chenxin Ni","Pro																															Con																															Pro","2-1																															PRO"
Leland IK,Potomac PL,"Brock Walker																																						EUN-YOUNG KHO																																						Zach Frieden","Con																															Pro																															Con","2-1																															CON"
Fairmont Prep PP,Archbishop Mitty BM,"Ke Ren																																						Raymond Ma																																						Anirudh Sukhija","Con																															Con																															Con","3-0																															CON"
Notre Dame San Jose AY,Claremont SW,"Lindsay Allen																																						Yutong Hu																																						Cameron Chacon","Pro																															Con																															Pro","2-1																															PRO"
Princeton RJ,Cranbrook WQ,"Daksha Pillai																																						Flori Song																																						Austin Zhao","Con																															Pro																															Pro","2-1																															PRO"
Leland JW,Lincoln East IX,"Janet Zhang																																						Ying Zou																																						Amane Anderson","Pro																															Pro																															Con","2-1																															PRO"
Scarsdale ZL,Darty Boys BW,"walker turley																																						changhua yu																																						Jenny Parks","Con																															Pro																															Pro","2-1																															PRO"
Strake Jesuit  HC,Poolesville LD,"Ranjit Tulasi																																						Zev Ginsberg																																						Roland Au-Yeung","Con																															Con																															Con","3-0																															CON"
Sharon XH,Winston Churchill WW,"Adam Meskouri																																						Neville Tom																																						Mariel Cruz","Con																															Pro																															Con","2-1																															CON"
BASIS Chandler DC,American RK,"Senthil Kumar Chockalingam																																						Yibing Xin																																						Dean Carman","Con																															Pro																															Con","2-1																															CON"
Millard North AD,Milpitas CP,"Sukhee Lee																																						Shailendra Shrivastava																																						Suresh Sivananthan","Con																															Con																															Pro","2-1																															CON"
Richard Montgomery XC,,,,
