Pro,Con,Judges,Votes,Win
Plano West KL,Spence CC,"Ethan Roytman																																						Devekanand Singh																																						Alex Lee","Pro																															Con																															Pro","2-1																															PRO"
West Windsor Plainsboro South BP,Plano West AB,"Ali Baradowala																																						Michael Hansen																																						Meeta Karanth","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  GZ,Germantown SH,"Prabhjot Saini																																						Rishabh Singh																																						Sara Chough","Pro																															Pro																															Pro","3-0																															PRO"
Germantown Friends LZ,American Heritage Broward CP,"Saroop Makhija																																						Darshanik Aryal																																						Iman Onbargi","Pro																															Pro																															Pro","3-0																															PRO"
Summit MB,Strake Jesuit  MC,"Prabhjot Saini																																						Rishabh Singh																																						Sara Chough","Con																															Con																															Con","3-0																															CON"
Arlington CL,Cary Acad JR,"Will Erard																																						Brooke Blanton																																						Abhilash Datti","Pro																															Con																															Con","2-1																															CON"
Strake Jesuit  HH,Palm Beach Independent FM,"Hui Tang																																						Alexander Lin																																						Jackson Schreiber","Pro																															Pro																															Pro","3-0																															PRO"
Lincoln-Sudbury KH,Lexington SP,"Halle Guber																																						Vivian Zhu																																						Alexander Sun","Pro																															Pro																															Pro","3-0																															PRO"
Montgomery Blair LT,Cranbrook SW,"Atul Kapoor																																						Zach Dyar																																						Aman Siddiqi","Con																															Pro																															Pro","2-1																															PRO"
BASIS Peoria AL,North Allegheny DD,"David Lehrman																																						Cale McCrary																																						Maddie Cook","Con																															Pro																															Pro","2-1																															PRO"
Bergen Independent YS,Bergen VD,"Saroop Makhija																																						Darshanik Aryal																																						Iman Onbargi","Pro																															Con																															Pro","2-1																															PRO"
Thomas S. Wootton TT,East Ridge MV,"Ethan Roytman																																						Devekanand Singh																																						Benjamin Hodges","Pro																															Pro																															Pro","3-0																															PRO"
Langley CG,Newton South LS,"David Lehrman																																						Cale McCrary																																						Maddie Cook","Con																															Pro																															Pro","2-1																															PRO"
St Luke's WM,Strake Jesuit  ZM,"Satvik Mahendra																																						Sumukh Tendulkar																																						Yibing Xin","Con																															Pro																															Con","2-1																															CON"
Chapin RK,Palm Harbor ML,"Unmesh Kusurkar																																						Jianguo Wang																																						anne chang","Con																															Pro																															Con","2-1																															CON"
Princeton Independent RJ,George Washington HD,"Mary Beth Armstrong																																						Rania Ishoof																																						Victor Chen","Con																															Con																															Pro","2-1																															CON"
Millburn CW,New Horizons D.N LP,"Clayton Zipperian																																						Kiran Madavarapu																																						Theo Datta","Pro																															Pro																															Pro","3-0																															PRO"
Sidwell BC,Regis FM,"Ali Baradowala																																						Michael Hansen																																						Meeta Karanth","Con																															Pro																															Con","2-1																															CON"
Atlantic Independent BC,Stuyvesant BL,"Halle Guber																																						Vivian Zhu																																						Alexander Sun","Con																															Pro																															Con","2-1																															CON"
Ridge SL,Stuyvesant HM,"Unmesh Kusurkar																																						Jianguo Wang																																						anne chang","Con																															Con																															Con","3-0																															CON"
BASIS Peoria GV,Strake Jesuit  NT,"Cristian Abarca																																						Sebastian Glos																																						Lindsay Donovan","Pro																															Pro																															Pro","3-0																															PRO"
Acton-Boxborough SL,National Debate Club (NDC) BI,"Neo Curry																																						Ishan Dubey																																						Cherie Wang","Pro																															Con																															Pro","2-1																															PRO"
Ivy Bridge TC,Potomac LM,"Satvik Mahendra																																						Sumukh Tendulkar																																						Yibing Xin","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  HW,Hunter GB,"Hui Tang																																						Alexander Lin																																						Jackson Schreiber","Con																															Pro																															Con","2-1																															CON"
Gulliver Prep IS,Delbarton AX,"Cristian Abarca																																						Sebastian Glos																																						Lindsay Donovan","Con																															Con																															Pro","2-1																															CON"
Newton South LP,Richard Montgomery LW,"Mary Beth Armstrong																																						Rania Ishoof																																						Victor Chen","Con																															Pro																															Con","2-1																															CON"
Scarsdale LZ,Summit AZ,"Dean Carman																																						Sumita De																																						Mariama Thiam","Con																															Con																															Con","3-0																															CON"
Dulles LH,Lakeville North LM,"Will Erard																																						Brooke Blanton																																						Abhilash Datti","Con																															Con																															Con","3-0																															CON"
Newton South WX,North Gwinnett AL,"Neo Curry																																						Ishan Dubey																																						Cherie Wang","Con																															Pro																															Pro","2-1																															PRO"
Hunter MK,Lexington MS,"Atul Kapoor																																						Zach Dyar																																						Aman Siddiqi","Con																															Con																															Con","3-0																															CON"
Acton-Boxborough SJ,Richard Montgomery CX,"Clayton Zipperian																																						Kiran Madavarapu																																						Theo Datta","Pro																															Con																															Con","2-1																															CON"
Pingry WP,Sidwell FG,"Dean Carman																																						Sumita De																																						Mariama Thiam","Pro																															Pro																															Con","2-1																															PRO"
