Pro,Con,Judges,Votes,Win
Pingry WP,Plano West KL,"Ishan Dubey																																						Camilla Green																																						Sara Chough","Con																															Con																															Pro","2-1																															CON"
Plano West AB,Richard Montgomery CX,"Melodie Ting																																						Brooke Blanton																																						Abhilash Datti","Pro																															Con																															Pro","2-1																															PRO"
Strake Jesuit  GZ,Lexington MS,"Dean Carman																																						Alexander Lin																																						Christoph von Pezold","Pro																															Con																															Pro","2-1																															PRO"
Germantown Friends LZ,Newton South WX,"Dominik Anderson																																						Hui Tang																																						Satvik Mahendra","Con																															Pro																															Pro","2-1																															PRO"
Lakeville North LM,Strake Jesuit  MC,"Atul Kapoor																																						Ben Chen																																						John Wisniewski","Pro																															Con																															Con","2-1																															CON"
Cary Acad JR,Summit AZ,"Ishan Dubey																																						Camilla Green																																						Sara Chough","Pro																															Pro																															Con","2-1																															PRO"
Strake Jesuit  HH,Richard Montgomery LW,"Clayton Zipperian																																						Victor Chen																																						Evan Epstein","Con																															Con																															Con","3-0																															CON"
Delbarton AX,Lincoln-Sudbury KH,"Halle Guber																																						Prabhjot Saini																																						Vivian Zhu","Con																															Con																															Pro","2-1																															CON"
Montgomery Blair LT,Hunter GB,"Melodie Ting																																						Brooke Blanton																																						Abhilash Datti","Pro																															Pro																															Pro","3-0																															PRO"
BASIS Peoria AL,Potomac LM,"Clayton Zipperian																																						Victor Chen																																						Evan Epstein","Pro																															Con																															Con","2-1																															CON"
Bergen Independent YS,Acton-Boxborough SL,"Atul Kapoor																																						Ben Chen																																						John Wisniewski","Pro																															Pro																															Pro","3-0																															PRO"
BASIS Peoria GV,Thomas S. Wootton TT,"Halle Guber																																						Prabhjot Saini																																						Vivian Zhu","Con																															Pro																															Con","2-1																															CON"
Langley CG,Stuyvesant HM,"Mary Beth Armstrong																																						Unmesh Kusurkar																																						Maddie Cook","Pro																															Pro																															Pro","3-0																															PRO"
Stuyvesant BL,Strake Jesuit  ZM,"Dominik Anderson																																						Hui Tang																																						Satvik Mahendra","Pro																															Pro																															Con","2-1																															PRO"
Palm Harbor ML,Regis FM,"Mary Beth Armstrong																																						Unmesh Kusurkar																																						Maddie Cook","Pro																															Con																															Pro","2-1																															PRO"
Millburn CW,George Washington HD,"Dean Carman																																						Alexander Lin																																						Christoph von Pezold","Pro																															Pro																															Pro","3-0																															PRO"
