Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Marlborough AK,Immaculate Heart JL,Akshay Manglik,Neg,29,29
Lynbrook SC,Nova 42 JF,Lindsay Van Luvanee,Aff,29,28
Harker DS,Little Rock Central MG,Cale McCrary,Aff,30,30
James Logan MA,Cupertino IS,Ashley Nguyen,Aff,28,27
Marlborough AW,Harvard-Westlake IC,Arianna Nelson,Neg,29,29
Sequoia AS,Able2Shine MC,Nethmin Liyanage,Aff,30,28
Fairview AK,Harker VZ,Srividhya Venkataraman,Aff,29,28
Peninsula AD,Nova 42 MM,Kiarash Noorizadeh,Neg,26,29
Saratoga AG,Peninsula RM,Nick Fleming,Neg,29,29
St Agnes EH,Saratoga YK,River Cook,Aff,29,28
Marlborough HL,Nova 42 CH,Courtney Coffman,Aff,28,28
Cupertino SS,Archbishop Mitty AP,Riley Fisher,Aff,30,30
La Canada LL,Harvard-Westlake SW,Doug Kramer,Aff,25,24
Westlake AC,Northland Christian CS,Keshav Dandu,Neg,28,28
Fairview SJ,Eden Prairie AG,Lawrence Zhou,Neg,29,29
Harker DV,Proof DR,Derek Hilligoss,Neg,30,30
Harvard-Westlake RV,Marlborough ZG,Bennett Dombcik,Neg,28,29
Bellarmine  AK,Westridge TW,Jack Czyz,Neg,30,30
Coppell EH,Mira Loma SG,Puja Singhal,Neg,,29
James Logan SB,American AS,,"Aff BYE																									Neg BYE","Aff BYE																									Neg BYE",
Brentwood BB,St Francis MG,Scott Brown,Aff,29,29
Westlake MR,Stockdale GS,Joseph Barquin,Neg,29,29
Harvard-Westlake MT,Bridgeland Independent PT,Nick Smith,Neg,28,28
Westwood SP,Harker MK,Saketh Kotapati,Neg,28,29
Fairview SP,St Francis HU,Riley Fisher,Aff,29,29
Denver East LF,Westwood EG,Diana Alvarez,Aff,28,28
St Francis TG,Peninsula AY,Krishna Dixit,Aff,26,23
Notre Dame San Jose AG,Harker AA,Ari Davidson,Neg,29,29
Westridge KY,Harvard-Westlake ML,Nick Smith,Neg,28,29
Brophy CC,Cogito CL,Aniruth Narayanan,Neg,29,30
Harker PG,Albuquerque LN,Ari Davidson,Neg,28,29
Harker RM,Orange Lutheran AZ,Asher Towner,Aff,29,29
Cupertino YA,Peninsula KD,Anshuman Mishra,Aff,28,28
Immaculate Heart EL,Marlborough MS,Saketh Kotapati,Neg,28,29
Westlake AK,Honor AP,Jonathan Meza,Aff,30,30
"Young Genius, Bay Area AA",Immaculate Heart RR,Matt Stannard,Neg,28,28
Stockdale RP,Mission San Jose AA,Nethmin Liyanage,Neg,27,29
Mission San Jose AD,Coppell HA,Emmiee Malyugina,Neg,28,29
Taft EL,Honor VD,Danielle Dosch,Aff,29,29
Nova 42 DM,Archbishop Mitty AB,Brett Boelkens,Neg,28,28
Apple Valley LW,Diamond Bar NC,Andrew Qin,Neg,28,29
Harvard-Westlake KD,Harker GS,Gerard Grigsby,Neg,28,29
Denver East SB,St Francis MR,Dayanand Bhojak,Aff,29,29
Albuquerque AK,Marlborough WR,Arianna Nelson,Neg,29,29
Monta Vista RD,Wyoming Virtual JC,Gordon Krauss,Aff,29,29
Plano Independent RP,Cardinal Gibbons RS,Scott Brown,Aff,30,30
Harvard-Westlake NW,Nova 42 NJ,Courtney Coffman,Aff,28,28
Harvard-Westlake LD,Little Rock Central XJ,Lena Mizrahi,Aff,29,29
Amador Valley EL,Peninsula EL,Claudia Hyun,Aff,28,28
ModernBrain AK,Apple Valley KW,SunHee Simon,Neg,28,28
Isidore Newman EE,Lovejoy JV,Akshay Manglik,Neg,29,29
,Cogito IC,,Neg BYE,Neg BYE,
Harker AP,Brentwood AR,Claudia Ribera,Neg,29,29
Marlborough ML,Northland Christian LB,Forrest Fulgenzi,Neg,28,29
Peninsula CS,Immaculate Heart MF,Claudia Ribera,Aff,29,29
