Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Coppel SS,Strake CH,Matthew Barber,Aff,29,26
CleLak MK,Dulles AD,Aniketh Bharadwaj,Neg,30,30
Strake LW,Coppel EH,Holden Bukowsky,Aff,29,28
Strake Jesuit  JW,Sidwel SW,Reed Weiler,Aff,29,29
Memori DX,Coppel HA,Joseph Georges,Aff,29,29
Memori BD,Midlot AC,Collin Goemmer,Aff,28,28
Bridge ZT,Strake Jesuit  DA,Javier Hernandez,Aff,29,29
Dulles JL,Greenh SK,Tuyen Le,Aff,29,28
Greenh CR,Carnegie Vanguard LH,Beth Cole,Neg,28,29
Clear Lake MB,NewSmi SJ,Gabby Lea,Neg,27,28
Strake JX,CooCit NR,Chris Randall,Aff,28,28
Dulles VN,Carnegie Vanguard SR,Javier Navarrete,Neg,29,30
Elkins NK,Midlot VS,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Strake RC,Woodlands ST,Isaiah Salgado,Aff,29,29
CleSpr WM,Strake KC,Soujanya Varada,Aff,29,28
SteF EN,Ardsley KK,Tuyen Le,Neg,28,28
Coppel SK,Strake Jesuit  VM,Holden Bukowsky,Neg,28,30
Height JJ,Strake Jesuit  JK,Alexander Yoakum,Neg,28,29
Coppel RM,Westside SY,Joseph Georges,Neg,28,29
Strake MS,Woodlands AH,Collin Goemmer,Aff,30,30
CleLak IM,Strake VJ,dylan jones,Neg,1,30
Greenh EN,WooCol TS,Fabrice Etienne,Aff,29,29
Strake CM,Woodlands PA,Gabby Lea,Neg,28,28
Ardsley LL,Strake CB,Isaac Chao,Aff,28,28
Clear Lake AA,Strake OZ,Chris Randall,Aff,28,28
Little Rock Central XJ,Greenh JW,Isaiah Salgado,Neg,29,30
Strake EP,CleSpr EG,Soujanya Varada,Aff,28,28
