Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Clear Lake MB,Strake CB,Leigh Walters,Aff,29,28
Strake EP,Coppel SS,Fabrice Etienne,Aff,29,29
Strake VJ,Dulles JL,Holden Bukowsky,Aff,28,28
Woodlands PA,CleLak IM,Collin Goemmer,Neg,28,29
Strake CM,Coppel SK,Reed Weiler,Neg,28,29
Strake RC,Bridge ZT,Isaac Chao,Neg,28,29
Strake Jesuit  DA,Greenh JW,Isaac Chao,Aff,28,28
Strake LW,Ardsley KK,Avery Wilson,Aff,29,29
NewSmi SJ,Strake Jesuit  JW,Alexander Yoakum,Neg,28,29
Strake JX,Dulles VN,Javier Hernandez,Neg,29,29
Clear Lake AA,Memori DX,Tajaih Robinson,Neg,29,29
Woodlands ST,Coppel RM,Demarcus Powell,Neg,28,28
Strake Jesuit  VM,Greenh EN,dylan jones,Aff,29,29
Memori BD,CooCit NR,Spiridhon Hoxha,Aff,30,30
Woodlands AH,CleLak MK,Neville Tom,Aff,28,28
Little Rock Central XJ,Midlot AC,Arun Mehra,Neg,28,28
Westside SY,Strake Jesuit  JK,Gabby Lea,Neg,30,30
Midlot VS,Ardsley LL,Demarcus Powell,Neg,28,28
Greenh SK,Carnegie Vanguard SR,Arun Mehra,Neg,30,28
Carnegie Vanguard LH,Sidwel SW,Neville Tom,Neg,28,30
Greenh CR,Coppel HA,Phoenix Pittman,Neg,28,30
CleSpr WM,WooCol TS,Eric Schwerdtfeger,Neg,28,28
Strake OZ,Coppel EH,Alexander Yoakum,Aff,28,28
Dulles AD,Strake MS,Holden Bukowsky,Neg,28,29
SteF EN,Strake CH,Eric Schwerdtfeger,Aff,,
Height JJ,CleSpr EG,Reed Weiler,Aff,29,28
Elkins NK,Strake KC,Yeou Dong,Neg,28,29
