Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
CleLak MK,Carnegie Vanguard LH,Javier Navarrete,Neg,29,29
Dulles JL,Memori BD,Javier Navarrete,Neg,29,30
Midlot AC,Greenh SK,Isaiah Salgado,Aff,28,28
Sidwel SW,Strake LW,dylan jones,Aff,29,29
Strake KC,Woodlands ST,Javier Hernandez,Neg,28,28
Strake Jesuit  JK,CleSpr WM,Phoenix Pittman,Aff,29,27
Carnegie Vanguard SR,Strake VJ,Tajaih Robinson,Aff,29,29
CooCit NR,Strake Jesuit  VM,Gabby Lea,Aff,30,29
Greenh EN,Strake OZ,Isaac Chao,Aff,28,28
Dulles VN,NewSmi SJ,Sarah Botsch-McGuinn,Aff,30,29
Memori DX,Greenh CR,dylan jones,Aff,29,28
Strake MS,Woodlands PA,Isaac Chao,Aff,29,28
Coppel EH,Height JJ,Fabrice Etienne,Aff,29,28
Bridge ZT,Dulles AD,Chris Randall,Aff,28,27
Coppel RM,Strake JX,River Cook,Neg,28,29
Coppel SK,Clear Lake AA,Aniketh Bharadwaj,Neg,30,30
CleLak IM,SteF EN,Vishal Sivamani,Aff,28,28
Strake CB,Elkins NK,Spiridhon Hoxha,Aff,29,29
Ardsley KK,Strake EP,Tyler Garrett,Aff,28,28
Coppel HA,Strake Jesuit  DA,Isaiah Salgado,Aff,28,28
Greenh JW,Strake CM,Beth Cole,Aff,29,28
Strake CH,Clear Lake MB,Yeou Dong,Neg,27,28
Strake Jesuit  JW,Woodlands AH,Phoenix Pittman,Aff,30,28
Ardsley LL,Strake RC,Avery Wilson,Neg,29,29
WooCol TS,Midlot VS,Aniketh Bharadwaj,Aff,30,30
CleSpr EG,Little Rock Central XJ,Demarcus Powell,Neg,28,28
Coppel SS,Westside SY,Demarcus Powell,Neg,28,28
