Pro,Con,Judges,Votes,Win
Bellaire AK,Strake Jesuit  GZ,"Sabrina Huang																																						Cassie Christensen																																						Nikhil Kasturi","Con																															Con																															Con","3-0																															CON"
Westlake WW,Flower Mound IM,"Ty Gribble																																						Jessica Chai																																						Kien Tran","Pro																															Pro																															Pro","3-0																															PRO"
Jasper BR,Strake Jesuit  HK,"Donpaul Stephens																																						Colton De Los Santos																																						Amogh Mahambare","Con																															Con																															Pro","2-1																															CON"
Flower Mound KK,Strake Jesuit  HJ,"Cassie Christensen																																						Devon Stevenson																																						Josh Reynolds","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes CJ,Westwood NS,"Satvik Mahendra																																						Ishan Dubey																																						Atul Kapoor","Pro																															Pro																															Pro","3-0																															PRO"
Bellaire CX,Winston Churchill IM,"Michael DePasquale																																						Shuba Ravikumar																																						Farhan Buvvaji","Con																															Con																															Con","3-0																															CON"
Westwood RB,Plano West KL,"Ty Gribble																																						Jessica Chai																																						Kien Tran","Con																															Con																															Con","3-0																															CON"
Southlake Carroll BS,Strake Jesuit  HH,"Quinn McKenzie																																						Rishik Boddeti																																						Reese Townsend","Pro																															Pro																															Con","2-1																															PRO"
Lake Travis JS,Seven Lakes ML,"Neo Curry																																						Nayeon Kim																																						Will Erard","Con																															Con																															Con","3-0																															CON"
Westwood PS,Strake Jesuit  MH,"Araceli Casasola																																						Sabrina Huang																																						Meghan Avis Yen","Con																															Con																															Con","3-0																															CON"
Westwood XK,Plano West VA,"Michael DePasquale																																						Nayeon Kim																																						Will Erard","Con																															Con																															Pro","2-1																															CON"
Pittsburgh Central Catholic GA,Strake Jesuit  VW,"Grant Barden																																						Satvik Mahendra																																						Atul Kapoor","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes KS,L C Anderson SM,"Donpaul Stephens																																						Colton De Los Santos																																						Amogh Mahambare","Pro																															Pro																															Con","2-1																															PRO"
Dulles LH,Westlake RM,"Quinn McKenzie																																						Rishik Boddeti																																						Reese Townsend","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes WF,Southlake Carroll GW,"Neo Curry																																						Shuba Ravikumar																																						Farhan Buvvaji","Con																															Con																															Con","3-0																															CON"
Plano West AB,Plano West CP,,Plano West AB advances,Plano West AB advances
