Pro,Con,Judges,Votes,Win
Southlake Carroll GW,Strake Jesuit  GZ,"Satvik Mahendra																																						Farhan Buvvaji																																						Will Erard","Pro																															Con																															Con","2-1																															CON"
Dulles LH,Westlake WW,"Satvik Mahendra																																						Farhan Buvvaji																																						Nayeon Kim","Con																															Con																															Con","3-0																															CON"
Seven Lakes KS,Strake Jesuit  HK,"Shuba Ravikumar																																						Donpaul Stephens																																						Atul Kapoor","Pro																															Pro																															Con","2-1																															PRO"
Plano West AB,Flower Mound KK,"Cassie Christensen																																						Kien Tran																																						Nikhil Kasturi","Pro																															Con																															Pro","2-1																															PRO"
Seven Lakes CJ,Pittsburgh Central Catholic GA,"Colton De Los Santos																																						Will Erard																																						Amogh Mahambare","Pro																															Con																															Pro","2-1																															PRO"
Plano West VA,Winston Churchill IM,"Nayeon Kim																																						Colton De Los Santos																																						Amogh Mahambare","Pro																															Con																															Con","2-1																															CON"
Plano West KL,Strake Jesuit  MH,"Cassie Christensen																																						Kien Tran																																						Nikhil Kasturi","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes ML,Southlake Carroll BS,"Ishan Dubey																																						Ty Gribble																																						Rishik Boddeti","Pro																															Con																															Con","2-1																															CON"
