Aff,Neg,Judge,Result
Millard North YL,Loveless Academic Magnet Program RR,Diana Alvarez,Aff
Cottonwood KE,Davis EM,Harvey Bograd,Aff
James Logan MA,Park City NL,X Braithwaite,Neg
Solebury LN,Interlake DB,Albert Cardenas,Neg
George Washington EC,Marlborough AK,Nicky Smith,Neg
McNeil AG,Homestead DA,Leah Clark-Villanueva,Aff
Millard North NL,Marlborough AW,Ausha Curry,Aff
Interlake KK,Cottonwood IA,Sara Erickson,Aff
Sky View LT,Denver East MB,Katie Esch,Aff
Peninsula SM,Marlborough SK,Justin Fang,Aff
Solebury LM,Marlborough MS,Isabella Gandara,Aff
Marlborough LK,James Logan SB,Arya Goel,Aff
Corner Canyon JS,Marlborough SG,Michael Harris,Neg
Corner Canyon JN,Davis SS,Kelly Hutchings,Aff
Denver East LF,Loyola IB,Gordon Krauss,Neg
Vestavia Hills DS,Marlborough EW,Nethmin Liyanage,Aff
James Logan KL,Newman Smith SJ,Sarah Mayers,Neg
Loyola SG,Alta MD,Lotem Levy,Aff
Pine View EL,Marlborough LF,Ean Neiswanger,Aff
Marlborough TZ,Alta AB,Hannah Nunley,Aff
Mercer Island KS,Marlborough SL,Amy Nyberg,Aff
Marlborough VA,Silver Creek KZ,Hannah Nunley,Neg
Corner Canyon AP,Homestead SL,Yardley Rosas,Aff
Salem Hills AJ,Alta JN,,"Aff BYE																									Neg FFT"
Peninsula CS,Dougherty Valley KM,Asher Towner,Aff
Monta Vista KR,Denver East SB,Zaid Umar,Neg
Corner Canyon CF,Dougherty Valley KZ,Josh Weingarten,Neg
Monta Vista RD,Marlborough HH,Doug Welton,Aff
Cottonwood CS,DTHS SS,parth misra,Neg
Loyola LR,,,
