Aff,Neg,Judge,Result
Mercer Island KS,Dougherty Valley KZ,Diana Alvarez,Neg
Pine View EL,Newman Smith SJ,Albert Cardenas,Aff
Peninsula SM,Millard North YL,Isabella Crockett,Neg
Dougherty Valley KM,Park City NL,Ausha Curry,Neg
DTHS SS,James Logan KL,X Braithwaite,Neg
Alta AB,Interlake KK,Zaid Umar,Aff
Davis SS,Silver Creek KZ,Sam Larson,Neg
Millard North NL,Peninsula CS,Nethmin Liyanage,Aff
Corner Canyon JS,Marlborough EW,Heaven Montague,Neg
Marlborough LK,Vestavia Hills DS,Hannah Nunley,Neg
Marlborough AW,George Washington EC,Amy Nyberg,Aff
Homestead DA,Denver East SB,Nitin Rastogi,Neg
Monta Vista RD,Solebury LM,Yardley Rosas,Neg
Marlborough AK,Monta Vista KR,Talia Traskos-Hart,Neg
Homestead SL,Marlborough MS,Josh Weingarten,Aff
McNeil AG,Interlake DB,parth misra,Aff
Loyola SG,Davis EM,Duncan Stewart,Aff
Loveless Academic Magnet Program RR,Marlborough SK,Isabella Crockett,Aff
Denver East LF,Marlborough VA,Ausha Curry,Aff
Corner Canyon CF,James Logan SB,Justin Fang,Aff
Loyola IB,Marlborough SL,Sam Larson,Aff
Denver East MB,Marlborough TZ,Nethmin Liyanage,Neg
Corner Canyon JN,Marlborough SG,Heaven Montague,Aff
Marlborough HH,Alta MD,Hannah Nunley,Aff
Cottonwood IA,Loyola LR,Amy Nyberg,Neg
Salem Hills AJ,Cottonwood KE,Nitin Rastogi,Neg
Sky View LT,Cottonwood CS,,"Aff BYE																									Neg FFT"
Corner Canyon AP,James Logan MA,Sara Erickson,Aff
Solebury LN,Marlborough LF,Josh Weingarten,Neg
