Pro,Con,Judges,Votes,Win
L C Anderson PA,Plano West KL,"Jessica Chai																																						Nibhan Akbar																																						Lars Deutz","Con																															Con																															Con","3-0																															CON"
Southlake Carroll RY,Westwood NS,"Sabrina Huang																																						Quinn McKenzie																																						Ilan Benavi","Pro																															Pro																															Pro","3-0																															PRO"
Westwood BK,Plano West TC,"Sabrina Huang																																						Quinn McKenzie																																						Ilan Benavi","Con																															Pro																															Con","2-1																															CON"
Winston Churchill IM,Southlake Carroll KB,"Saketh Gangadaranellore																																						Max Vanderheyden																																						Ty Gribble","Con																															Pro																															Con","2-1																															CON"
Flower Mound KK,Strake Jesuit  ML,"Pooja Dave																																						Amogh Mahambare																																						Anuraag Routray","Pro																															Pro																															Pro","3-0																															PRO"
Jasper AV,Westlake KP,"Spencer Orlowski																																						Eesha Suri																																						Simon Bloesch","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  CP,Vista Ridge PP,"Jessica Chai																																						Nilay Gandhi																																						Nibhan Akbar","Pro																															Pro																															Pro","3-0																															PRO"
Westwood VD,Southlake Carroll GD,"Bryce Piotrowski																																						Brooklyn King																																						Will Erard","Pro																															Con																															Pro","2-1																															PRO"
American Heritage Broward PA,Seven Lakes ML,"Will Erard																																						Ishan Maddalwar																																						Lars Deutz","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  GZ,Jasper AB,"Shriya Punreddy																																						Jake Kielty																																						Araceli Casasola","Con																															Pro																															Pro","2-1																															PRO"
Southlake Carroll GW,James Bowie BB,"Bryce Piotrowski																																						Brooklyn King																																						Anuraag Routray","Pro																															Pro																															Con","2-1																															PRO"
Vista Ridge RP,Westlake WK,"Katherine Shadman																																						Raj Solanki																																						Aatreya Tewary","Con																															Con																															Con","3-0																															CON"
L C Anderson SM,Flower Mound MI,"Katherine Shadman																																						Raj Solanki																																						Aatreya Tewary","Pro																															Pro																															Pro","3-0																															PRO"
Trinity Prep CD,Seven Lakes CL,"Spencer Orlowski																																						Eesha Suri																																						Simon Bloesch","Con																															Pro																															Pro","2-1																															PRO"
Trinity Prep SH,Plano West KP,"Shriya Punreddy																																						Jake Kielty																																						Araceli Casasola","Con																															Con																															Con","3-0																															CON"
Southlake Carroll SD,Strake Jesuit  TW,"lanique magee																																						Johnathen Standifer																																						Shuba Ravikumar","Pro																															Pro																															Pro","3-0																															PRO"
