Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Ridge SN,Harrison JP,Malachi Ambrose,Aff,29,29
Strath Haven LP,Sammamish LW,Luke Bagdon,Neg,28,28
All Saints Episcopal RL,Harrison TB,David Coates,Neg,28,28
Lovejoy JV,CR North MM,Ausha Curry,Aff,29,28
Unionville MG,Wilcox KM,Deepali Damle,Neg,28,29
Woodberry Forest CL,Ardsley ZS,Mark Early,Neg,28,29
Hunter AH,Academy at Palumbo AF,Edward Feldman,Neg,28,29
Princeton CB,Mercer Island KS,Jonah Gentleman,Neg,29,29
Ridge MK,Unionville AS,Kayla Graham,Aff,29,28
Solebury LN,Lynbrook AS,Chianli Hang,Neg,28,28
Fullerton Union JL,Ridge VS,Michael Harris,Neg,28,29
Harrison AC,Hunter AI,Eric He,Aff,29,29
Stuyvesant LC,Mountain View EN,Jonathan Hsu,Neg,28,29
All Saints Episcopal EA,Woodcreek KM,Jian Hu,Aff,28,27
Southlake Carroll SD,Ardsley LL,Ian Kim,Neg,29,28
Hamilton AL,All Saints Episcopal SS,Briajia Levi,Aff,30,29
Stuyvesant IL,Summit MR,Anshuman Mishra,Aff,28,27
Woodberry Forest GY,Clover Hill MM,Sarah Choi,Neg,28,29
Bronx Science BC,Fullerton Union AB,Andrew Morris,Neg,26,29
Unionville PW,Cheyenne Central GH,Amy Nyberg,Aff,29,29
Jupiter KG,Unionville SZ,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Princeton AS,CR North NS,Phoenix Pittman,Aff,30,28
Byram Hills EW,Lexington AS,Zachary Reshovsky,Aff,28,28
Stuyvesant MZ,Ridge LA,Aamer Shahab,Neg,28,29
Bridgewater Raritan VS,Pennsbury EH,Niti Singhania,Neg,27,28
Pennsbury GB,Bronx Science KG,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Lexington AM,Bronx Science AC,Kate Sundeen,Neg,30,29
Millburn MM,Ardsley KK,Jaylin Talmadge,Aff,29,28
Woodberry Forest RG,Hamilton GB,Nagajyothi Vemulapalli,Aff,28,28
Scarsdale SV,Walt Whitman HZ,Immanuel Victor,Aff,29,29
Harrison MB,Bronx Science RA,Ben Waldman,Aff,29,28
Solebury LM,George Washington BR,Jalyn Wu,Aff,29,28
Princeton JG,Ridge MS,Zahra Husain,Aff,26,28
Bergen County Academies AK,Lexington CH,Kumail Zaidi,Aff,28,28
Hamilton NS,,,,,
