Pro,Con,Judge,Win,"Pro								Points & Ranks","Con								Points & Ranks"
Southlake Carroll WG,Plano East TA,Deborah Banketa,Pro,"NWang																																																												30.0																																																														1																																																																																								TGolla																																																												30.0																																																														2","MArunkumar																																																												28.0																																																														4																																																																																								KThai																																																												29.0																																																														3"
Plano East AN,Episcopal HS - Houston Bellaire AP,Rich Bordner,Con,"AAkula																																																												27.5																																																														3																																																																																								INath																																																												27.0																																																														4","PPan																																																												28.4																																																														2																																																																																								ZAnwar																																																												28.5																																																														1"
Plano East VV,Plano West WL,Rich Bordner,Con,"IVats																																																												28.5																																																														3																																																																																								SVeerisetty																																																												28.0																																																														4","CWong																																																												29.1																																																														1																																																																																								JLee																																																												29.0																																																														2"
Plano West CC,Southlake Carroll CV,Sonali Patnaik,Con,"CCui																																																												27.0																																																														4																																																																																								JChen																																																												28.0																																																														3","VVishnukumar																																																												28.0																																																														2																																																																																								SChelluri																																																												29.0																																																														1"
Plano East TP,Wylie AB,Dylan Jodah,Con,"MTalo																																																												27.0																																																														4																																																																																								DPatel																																																												28.0																																																														3","ABhat																																																												30.0																																																														1																																																																																								MAdil																																																												29.0																																																														2"
Plano West AB,Southlake Carroll MN,Kyle Whipple,Pro,"AAppan																																																												30.0																																																														2																																																																																								YBai																																																												30.0																																																														1","EMugilan																																																												29.0																																																														4																																																																																								SNepal																																																												30.0																																																														3"
Jasper HL,Southlake Carroll IS,Ashis Patnaik,Pro,"AHarika																																																												28.5																																																														2																																																																																								LLiang																																																												28.5																																																														1","JIngu																																																												26.5																																																														4																																																																																								AShah																																																												27.5																																																														3"
Plano West VA,Southlake Carroll GF,Ashis Patnaik,Con,"AAyuluri																																																												27.0																																																														2																																																																																								RVemireddy																																																												26.5																																																														3","SFarooqi																																																												26.5																																																														4																																																																																								RGolla																																																												27.0																																																														1"
Plano East BT,Plano West CY,Deborah Banketa,Con,"STripathi																																																												30.0																																																														4																																																																																								SBaliarsingh																																																												30.0																																																														2","PYu																																																												30.0																																																														1																																																																																								MCheng																																																												30.0																																																														3"
Plano East CG,Episcopal HS - Houston Bellaire LW,Kyle Whipple,Con,"MChandrasekar																																																												27.0																																																														4																																																																																								HGhaffar																																																												28.0																																																														3","CWard																																																												30.0																																																														1																																																																																								ALivermore																																																												29.0																																																														2"
Southlake Carroll GC,Plano East CR,Justin Sterenberg,Pro,"RGupta																																																												28.5																																																														3																																																																																								AChitra																																																												29.0																																																														2","MChaudhry																																																												29.2																																																														1																																																																																								PRajendran																																																												27.5																																																														4"
Colony GS,Wylie GN,Sonali Patnaik,Pro,"AGrant																																																												27.0																																																														2																																																																																								SSterenberg																																																												29.0																																																														1","ANaveen																																																												26.0																																																														4																																																																																								AGuha																																																												27.0																																																														3"
Plano Senior GS,Plano East PG,Justin Sterenberg,Pro,"GGarg																																																												30.0																																																														1																																																																																								SShankar																																																												29.5																																																														2","APatel																																																												28.5																																																														4																																																																																								SGonchigar																																																												29.0																																																														3"
