Aff,Neg,Judges,Votes,Win
BASIS Peoria Independent GV,Lexington SM,"Dean Carman																																						Sridhar Narra																																						Surekha Bonasu","Aff																															Aff																															Aff","3-0																															AFF"
Vista Del Lago BP,National Debate Club (NDC) SX,"Cecilia Xi																																						Prasun Mishra																																						Sam Chen","Aff																															Neg																															Aff","2-1																															AFF"
Saratoga LT,Lynbrook SH,"Beth Cole																																						Dawn Paciotti																																						Ken Bhardwaj","Aff																															Aff																															Aff","3-0																															AFF"
Dougherty Valley VJ,Acton-Boxborough GS,"Victor Chen																																						Spandana Gogulamudi																																						Eli Moody","Aff																															Neg																															Aff","2-1																															AFF"
Westwood NY,Heights TW,"Darlene Zweng																																						amit shah																																						Michael DeStefano","Neg																															Neg																															Aff","2-1																															NEG"
CR North KV,Amador Valley JW,"Shrayes Upadhyayula																																						Diana Castaneda																																						Lee Sin","Neg																															Aff																															Aff","2-1																															AFF"
Quarry Lane ZR,Mount Auburn Hospital CX,"Madhusudhan Peddaboina																																						John Dalzell																																						Anushka Patel","Aff																															Aff																															Neg","2-1																															AFF"
Montgomery Blair LT,Accipiter Independent LE,"Tuyen Le																																						Roy Brace																																						Dasha Smirnova","Aff																															Neg																															Aff","2-1																															AFF"
Fairmont Prep PN,Centennial KP,"ragasudha kathireddy																																						Jyothi Jayachamarajapura																																						Ben Lemley","Neg																															Neg																															Aff","2-1																															NEG"
Poolesville LS,Arlington LC,"Sreenivasulu Gollapudi																																						Nathan Wang																																						Lori Donnelly","Neg																															Neg																															Neg","3-0																															NEG"
Montville ZW,Lynbrook LP,"Alexander Tivlumun																																						Jewell (Christian) Stewart																																						Brooke Meints","Neg																															Neg																															Neg","3-0																															NEG"
Arlington SP,Saratoga JG,"Charlie Timm																																						Jonathan Hsu																																						Subrata Saharoy","Neg																															Neg																															Neg","3-0																															NEG"
Canyon HS (CHS) HS,Cranbrook LY,"Sophia Polley-Fisanich																																						Pavan Peddireddi																																						Andrew Thong","Neg																															Aff																															Neg","2-1																															NEG"
Westfield Senior DR,American MR,"Ke Ren																																						Mariama Thiam																																						Sumit Gabada","Aff																															Neg																															Neg","2-1																															NEG"
Livingston NN,Central HS Springfield DK,"Amritha Nair																																						Shweta Mukker																																						Matthew St-Germain","Aff																															Aff																															Aff","3-0																															AFF"
Canyon Crest WS,Dougherty Valley DB,"Jordi Perez																																						Aanya Ghosh																																						Sunay Hegde","Neg																															Aff																															Aff","2-1																															AFF"
