Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Elkins SS,Greenhill DM,Nigel Taylor-Ward,Neg,"28.0																																																														2","29.9																																																														1"
Marlborough KM,Travis B. Bryan EC,Sophie Wilczynski,Neg,"29.3																																																														2","29.4																																																														1"
Harker AS,Lovejoy TK,Temitope Ogundare,Neg,"28.8																																																														2","28.9																																																														1"
Strake Jesuit  MMa,Marlborough PP,Sruthi Ilangovan,Neg,"28.8																																																														2","29.4																																																														1"
Harvard-Westlake MR,Dulles AJ,DH Henderson,Aff,"29.4																																																														1","28.4																																																														2"
Greenhill MA,Winston Churchill JK,Dylan Jones,Aff,"28.9																																																														1","28.7																																																														2"
Garland TZ,Greenhill AN,Claudia Ribera,Neg,"28.7																																																														2","29.0																																																														1"
Flower Mound AM,Marlborough SG,Adam Lipton,Aff,"29.0																																																														1","28.6																																																														2"
Heights CT,Garland KO,Evan Engel,Aff,"28.2																																																														1","27.8																																																														2"
Westwood AS,Greenhill EX,Jacob Nails,Neg,"28.4																																																														2","28.7																																																														1"
Village SZ,St Thomas CO,Mark Bishop,Aff,"30.0																																																														1","28.5																																																														2"
Marlborough FM,Strake Jesuit  SV,Preston Stolte,Neg,"28.7																																																														2","28.8																																																														1"
Clear Springs EG,Lawrenceville MM,Nigel Taylor-Ward,Neg,"29.9																																																														1","29.8																																																														2"
Harker AA,Greenhill AK,Truman Le,Aff,"29.4																																																														1","29.2																																																														2"
Lawrenceville AN,Greenhill SK,Dylan Jones,Neg,"28.7																																																														2","29.2																																																														1"
Lawrenceville TH,Strake Jesuit  MM,Alice Waters,Neg,"29.3																																																														2","29.4																																																														1"
Memorial EJ,Harvard-Westlake KM,Aryan Jasani,Aff,"29.3																																																														1","29.2																																																														2"
Monta Vista AA,Marlborough AM,Preston Stolte,Neg,"29.1																																																														2","29.2																																																														1"
Strake Jesuit  RC,Harker RA,Truman Le,Neg,"28.0																																																														2","29.5																																																														1"
Memorial CSu,Strake Jesuit  KM,Nelson Okunlola,Neg,"29.0																																																														2","29.5																																																														1"
Clear Lake CW,Harker SSe,Evan Engel,Neg,"28.7																																																														2","29.0																																																														1"
Westwood SM,Strake Jesuit  LC,Nelson Okunlola,Neg,"28.8																																																														2","29.2																																																														1"
Heights MW,Clear Lake RM,Bryce Sheffield,Neg,"28.9																																																														2","29.0																																																														1"
Dulles AA,Dallas Highland Park AG,Angel Pastor,Neg,"28.7																																																														2","29.1																																																														1"
Strake Jesuit  MB,Winston Churchill PH,DH Henderson,Neg,"28.6																																																														2","29.4																																																														1"
Strake Jesuit  CC,Harvard-Westlake WL,Bryce Sheffield,Neg,"27.5																																																														2","29.7																																																														1"
Klein Oak JW,Barrington AC,Patrick Fox,Neg,"28.7																																																														2","29.0																																																														1"
Harker ID,Village SL,Suhani Jampala,Neg,"27.5																																																														2","29.8																																																														1"
Northland Christian JH,Garland LA,Amanda Ciocca,Neg,"29.7																																																														2","29.8																																																														1"
Harker LC,Flower Mound SD,Jacob Nails,Neg,"28.7																																																														2","29.0																																																														1"
Marlborough MS,Memorial CS,Nolan Burdett,Aff,"29.9																																																														2","30.0																																																														1"
Westwood AP,Clear Lake MK,Aadi Patil,Neg,"29.3																																																														2","29.9																																																														1"
Marlborough OO,Greenhill VT,Nolan Burdett,Neg,"29.5																																																														1","29.0																																																														2"
Westlake AH,Colleyville Heritage GM,Mark Bishop,Neg,"29.2																																																														2","29.4																																																														1"
Marlborough TZ,Harker NB,Sruthi Ilangovan,Neg,"29.0																																																														2","29.5																																																														1"
Harker TP,Westlake MR,Aidan Etkin,Neg,"29.2																																																														2","29.5																																																														1"
Greenhill TH,Northland Christian AH,Alice Waters,Neg,"28.5																																																														2","28.6																																																														1"
Westwood BS,Heights SC,Adam Lipton,Neg,"28.2																																																														2","28.4																																																														1"
Vestavia Hills MH,Strake Jesuit  AS,Sophie Wilczynski,Neg,"29.0																																																														2","29.4																																																														1"
Greenhill MS,Strake Jesuit  SW,Claudia Ribera,Neg,"28.7																																																														2","28.8																																																														1"
Colleyville Heritage CB,Harker SS,Gerard Grigsby,Neg,"28.3																																																														2","28.6																																																														1"
Plano West AR,Heights EP,Amanda Ciocca,Neg,"29.8																																																														2","29.9																																																														1"
Harker SD,Northland Christian LM,Suhani Jampala,Neg,"29.5																																																														2","29.6																																																														1"
Village AW,Plano West NS,Temitope Ogundare,Neg,"28.6																																																														2","28.7																																																														1"
Acton-Boxborough NK,Marlborough LF,Aidan Etkin,Neg,"28.6																																																														2","28.7																																																														1"
