Aff,Neg,Judges,Votes,Win
Charlotte Latin WR,Montgomery Blair AS,"Robert Renegar																																						Chandrashekar Kandimalla																																						Sangeeta Kalyani","Neg																															Neg																															Neg","3-0																															NEG"
Ardrey Kell GS,North Gwinnett AL,"Anil Kumar Puranam																																						Anand Awasthi																																						Suchith Kondadasula","Aff																															Neg																															Neg","2-1																															NEG"
