Aff,Neg,Judges,Votes,Win
Marlborough AL,Loyola UT,"Joey Antonelli																																						Lily Gies																																						Christian Bohmer","Neg																															Neg																															Neg","3-0																															NEG"
Loyola TH,St Francis WW,"Calvin Tyler																																						Lily Gies																																						Allyson Spurlock","Aff																															Aff																															Aff","3-0																															AFF"
Harker AA,Marlborough SM,"Joey Antonelli																																						Dexter Winn																																						Tom Woodhead","Aff																															Aff																															Aff","3-0																															AFF"
Harker LX,Harvard-Westlake JW,"Nathan Saper																																						Brian Son																																						Norma Delgado","Neg																															Neg																															Neg","3-0																															NEG"
Brophy NR,Marlborough AK,"Patrick Fox																																						Christian Bohmer																																						Alice Waters","Aff																															Neg																															Neg","2-1																															NEG"
Loyola TG,Sage Hill AJ,"Krizel Guansing																																						Joseph Barquin																																						Travis Cochran","Aff																															Aff																															Aff","3-0																															AFF"
Brophy VW,Marlborough RB,"Travis Cochran																																						Alice Waters																																						Allyson Spurlock","Neg																															Aff																															Aff","2-1																															AFF"
Harvard-Westlake DB,Harker TP,"Jacob Nails																																						Gerard Grigsby																																						Yardley Rosas","Aff																															Neg																															Neg","2-1																															NEG"
Loyola RV,BASIS Scottsdale JV,"Joseph Barquin																																						Elvis Pineda																																						Calvin Tyler","Aff																															Aff																															Aff","3-0																															AFF"
Meadows TB,Harker JY,"Gerard Grigsby																																						Brian Son																																						Jonathan Meza","Neg																															Neg																															Aff","2-1																															NEG"
Peninsula DN,Peninsula JE,,Peninsula JE advances,Peninsula JE advances
Harvard-Westlake LS,Harvard-Westlake MR,,Harvard-Westlake MR advances,Harvard-Westlake MR advances
Marlborough PS,Marlborough LS,,Marlborough LS advances,Marlborough LS advances
Marlborough EP,Marlborough GC,,Marlborough GC advances,Marlborough GC advances
