Aff,Neg,Judges,Votes,Win
Solebury LN,Prospect ST,"Tajaih Robinson																																		Ethan Massa																																		Dylan Liu","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  NW,Challenge Early JA,"Becca Traber																																		Sebastian Cho																																		Annie Wang","Neg																												Aff																												Aff","2-1																															AFF"
Harrison JB,Marlborough WR,"Aaron Timmons																																		Rafael Sanchez																																		Jonathan Alston","Neg																												Neg																												Aff","2-1																															NEG"
Strake Jesuit  KS,Immaculate Heart RR,"Brett Fortier																																		Jack McKyton																																		Akshay Manglik","Aff																												Aff																												Aff","3-0																															AFF"
St Agnes EH,Coppell HA,"Amanda Ciocca																																		Leo Mokriski																																		Nick Fleming","Neg																												Neg																												Neg","3-0																															NEG"
Isidore Newman EE,Harker PG,"Elijah Smith																																		Enya Gu																																		Samuel Shafiro","Aff																												Aff																												Aff","3-0																															AFF"
Strake Jesuit  JS,Southlake Carroll EP,"Zachary Siegel																																		Sreyaash Das																																		Hanna Rice","Aff																												Aff																												Aff","3-0																															AFF"
Harker MK,Heights AW,"Chris Castillo																																		Amy Nyberg																																		Aaron Kim","Aff																												Aff																												Aff","3-0																															AFF"
Lake Highland Prep HL,Harker RM,"Patrick Fox																																		Chansey Agler																																		Chris Randall","Aff																												Neg																												Aff","2-1																															AFF"
Immaculate Heart AW,Iowa City West NW,"Jonathan Meza																																		Eva Lamberson																																		Kristopher Wallen","Aff																												Neg																												Neg","2-1																															NEG"
Strake Jesuit  JW,Monta Vista KR,"David Dosch																																		Julia Hunter																																		Jacob Palmer","Aff																												Aff																												Aff","3-0																															AFF"
Greenhill AK,Harrison JP,"Christopher Vincent																																		Sheryl Kaczmarek																																		Adam Torson","Aff																												Neg																												Aff","2-1																															AFF"
Saratoga AG,BASIS Peoria PY,"Chetan Hertzig																																		Bennett Dombcik																																		Temitope Ogundare","Neg																												Neg																												Neg","3-0																															NEG"
Lexington AG,Strath Haven AM,"Isaac Chao																																		Danielle Dosch																																		Anshul Reddy","Neg																												Neg																												Neg","3-0																															NEG"
Plano Independent AW,Perry JA,"Vik Maan																																		Brett Cryan																																		Logan Viera","Aff																												Neg																												Aff","2-1																															AFF"
Greenhill SL,San Mateo YR,"Allyson Spurlock																																		Cyprian Dumas																																		Jared Shirts","Neg																												Neg																												Neg","3-0																															NEG"
