Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
JPG JF,Christopher Columbus AM,Laxmish Bhat,Neg,28,28
Vestavia Hills GJ,Southlake Carroll CC,Austin Broussard,Aff,29,28
Hamilton Independent GB,James Logan AB,Jeffrey Swift,Aff,28,28
Isidore Newman EE,Stockdale RP,John Fruge,Aff,28,26
Christopher Columbus NG,Roeper RL,Karnessia Georgetown,Neg,28,28
Athenian EY,James Logan ZW,Lisa Hill,Aff,29,28
Isidore Newman NX,Hamilton Independent LR,Ana Joseph,Aff,27,26
West Des Moines Valley AM,Southlake Carroll PK,Hannah Li,Aff,30,30
Barbe AG,St Thomas More ND,Rajyalakshmi Mannem,Neg,25,29
Holy Cross ND,James Logan SM,Jonathan Meza,Aff,30,30
Stockdale AS,Hamilton Independent AL,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
St Mary's Dominican SR,,,,,
