Pro,Con,Judge,Win
Lakeville South MB,Eagan SJ,Dheeraj Pasikanti,Con
Canyon Crest WS,Eagan NM,Austin Siefken,Pro
Theodore Roosevelt BH,Eagan KB,Christopher Bryant,Con
Cranbrook DL,Awty International YX,Mary Beth Armstrong,Pro
Fort Atkinson GR,Johnston BQ,Chitkala Sethuraman,Con
Potomac RS,Pittsburgh Central Catholic GA,Henry Nomeland,Con
Lakeville North UM,Potomac BN,Noah Mengisteab,Con
Benilde-St Margaret's SW,Lakeville North MS,Zach Dyar,Con
Seven Lakes CM,Edina EM,Ria Vasishtha,Pro
Theodore Roosevelt MC,Flower Mound IM,Jordana Bales,Con
Langley LJ,Cranbrook YJ,Ruiting Wu,Pro
Bronx Science TT,Cranbrook WF,Austin Siefken,Pro
Jordan HG,Lakeville North LM,Charlie Grabois,Con
Fort Atkinson SC,Seven Lakes EM,Sophia Gustafson,Con
Seven Lakes GZ,St Luke's MW,Dheeraj Pasikanti,Con
BASIS Independent McLean BR,East Chapel Hill BZ,Stella Sung,Pro
Seven Lakes JC,Eden Prairie VV,Sophia Gustafson,Con
St Michael Albertville SH,Awty International ZZ,Charlie Grabois,Con
Avenues: The World BC,Benilde-St Margaret's HM,Jen Lee,Pro
Bronx Science VS,Blake OR,Pav Reddy,Con
Johnston SA,Lakeville North TZ,Dhruv Prakash,Con
Lexington ML,Iowa City West EA,Katelynn Warmbold,Con
Cranbrook GZ,Blake BC,Mary Beth Armstrong,Con
Bronx Science AE,Potomac ML,Dhruv Prakash,Con
Cranbrook LY,Lakeville North SW,Stuti Singh,Pro
Vel Phillips Memorial RL,Taipei American TH,Christopher Bryant,Con
Seven Lakes FW,Blake ST,Sahej Virdi,Con
Blake BL,Taipei American AB,Stella Sung,Pro
Strake Jesuit  GZ,Middleton KY,Stuti Singh,Pro
Strake Jesuit  MS,Taipei American YC,Chitkala Sethuraman,Pro
Boston Latin PL,Edgewood MB,Katelynn Warmbold,Con
Cranbrook SW,Theodore Roosevelt AB,Ben Pralat,Pro
Cranbrook FQ,Canyon Crest FS,Noah Mengisteab,Con
Eagan AS,Emerald KN,Zach Dyar,Con
Bronx Science ZH,Seven Lakes KT,Shaun Jones,Con
Theodore Roosevelt HR,Seven Lakes AR,Henry Nomeland,Con
Johnston DH,Lexington LG,Shaun Jones,Con
Eden Prairie BD,Langley CG,Pav Reddy,Con
Edina MG,Charlotte Latin WR,Ben Pralat,Con
Emerald AG,Seven Lakes LL,Jack Ave,Con
Taipei American LH,Potomac SS,Ruiting Wu,Con
East Ridge JS,Theodore Roosevelt CN,Ben Walter,Pro
Iowa City West GA,East Ridge VM,Jordana Bales,Con
Bronx Science CC,Seven Lakes KS,Ben Walter,Con
Emerald KG,Madison West BB,Ria Vasishtha,Pro
Lexington MS,Theodore Roosevelt MM,Jack Ave,Pro
Minnetonka MB,,,Pro BYE
