Pro,Con,Judge,Win
Avenues: The World BC,Edina MG,Calvin Goldsberry,Pro
Potomac ML,Blake OR,Bilal Butt,Con
Lakeville North MS,Minnetonka MB,Jordana Bales,Pro
Flower Mound IM,Seven Lakes EM,Maddie Cook,Con
Bronx Science VS,Pittsburgh Central Catholic GA,Bryce Piotrowski,Con
St Luke's MW,Seven Lakes CM,Eva Motolinia,Pro
Potomac RS,Theodore Roosevelt AB,Zachary Heintz,Con
Middleton KY,Seven Lakes JC,Gandhi Subramanian,Pro
Johnston DH,St Michael Albertville SH,Lillian Albrecht,Pro
Lakeville North TZ,Benilde-St Margaret's HM,Uma Venkat,Pro
Seven Lakes GZ,Benilde-St Margaret's SW,Elizabeth Terveen,Pro
Awty International ZZ,Emerald KG,Eva Motolinia,Pro
BASIS Independent McLean BR,Langley CG,Veer Prakash,Pro
Jordan HG,Johnston BQ,Zachary Heintz,Con
Charlotte Latin WR,Blake BL,Henry Nomeland,Con
Eagan AS,Theodore Roosevelt MC,Elizabeth Terveen,Con
Taipei American TH,Lakeville North LM,Sofia Perri,Con
Lexington MS,Iowa City West EA,Christopher Roe,Con
Bronx Science CC,Lakeville North SW,Skylar Wang,Con
Iowa City West GA,Theodore Roosevelt BH,Bryce Piotrowski,Pro
Seven Lakes LL,Taipei American AB,Fiona Hu,Pro
Cranbrook FQ,Potomac SS,Sofia Perri,Pro
Seven Lakes AR,Blake BC,Fiona Hu,Pro
Eagan SJ,Cranbrook LY,Tuyen Le,Con
East Chapel Hill BZ,Cranbrook YJ,Dylan Morgan,Con
Seven Lakes KT,Johnston SA,Uma Venkat,Pro
Eden Prairie BD,Vel Phillips Memorial RL,Kate Meredith,Con
Blake ST,Edgewood MB,Ria Vasishtha,Pro
Theodore Roosevelt MM,East Ridge VM,Henry Nomeland,Con
Cranbrook SW,Lakeville South MB,Kaitlyn Piper,Con
Emerald AG,Edina EM,Kaitlyn Piper,Pro
Lexington LG,Taipei American YC,Bilal Butt,Pro
Cranbrook WF,Fort Atkinson SC,Charlie Timm,Pro
Strake Jesuit  GZ,Bronx Science ZH,Veer Prakash,Pro
Seven Lakes KS,Theodore Roosevelt HR,Sully Mrkva,Pro
Cranbrook GZ,Potomac BN,Lillian Albrecht,Pro
Canyon Crest WS,Strake Jesuit  MS,Maddie Cook,Con
Cranbrook DL,Lexington ML,Noah Mengisteab,Con
Canyon Crest FS,Eagan KB,Christopher Roe,Pro
Emerald KN,Awty International YX,Gandhi Subramanian,Pro
Bronx Science AE,Lakeville North UM,Kate Meredith,Pro
Eden Prairie VV,Boston Latin PL,Shuba Ravikumar,Con
Fort Atkinson GR,Madison West BB,Dylan Morgan,Con
Taipei American LH,Eagan NM,Jordana Bales,Con
Langley LJ,East Ridge JS,Shuba Ravikumar,Con
Seven Lakes FW,Bronx Science TT,Sully Mrkva,Con
,Theodore Roosevelt CN,,Con BYE
