Pro,Con,Judge,Win
St Michael Albertville SH,Lakeville North LM,Kim Wasser,Con
Taipei American AB,Edgewood MB,Dylan Morgan,Pro
Seven Lakes GZ,Pittsburgh Central Catholic GA,Mary Beth Armstrong,Con
Charlotte Latin WR,Cranbrook WF,Ruiting Wu,Pro
Theodore Roosevelt AB,Bronx Science CC,Christopher Bryant,Pro
Awty International YX,Fort Atkinson SC,Katelynn Warmbold,Pro
Seven Lakes LL,Middleton KY,Jordana Bales,Pro
Seven Lakes AR,Eagan KB,Noah Mengisteab,Pro
East Ridge JS,Seven Lakes CM,Jack Johnson,Con
Lakeville North UM,Edina EM,Dylan Morgan,Con
Cranbrook YJ,Potomac ML,Dheeraj Pasikanti,Con
Theodore Roosevelt BH,Strake Jesuit  GZ,Ria Vasishtha,Con
Taipei American TH,Fort Atkinson GR,Sophia Gustafson,Pro
Madison West BB,Cranbrook LY,Shaun Jones,Con
BASIS Independent McLean BR,Theodore Roosevelt HR,Dhruv Prakash,Pro
Taipei American YC,Eagan NM,Christopher Bryant,Con
Emerald AG,St Luke's MW,Ben Pralat,Con
Potomac BN,Eden Prairie BD,Ruiting Wu,Con
Bronx Science ZH,Eagan AS,Jack Johnson,Pro
Seven Lakes JC,Lexington ML,Shaun Jones,Pro
Blake ST,Iowa City West GA,Ben Pralat,Con
Langley LJ,Lakeville South MB,Hari Gokul,Con
East Chapel Hill BZ,Potomac RS,Jack Ave,Con
Langley CG,Eagan SJ,Ria Vasishtha,Pro
Emerald KN,Theodore Roosevelt CN,Stuti Singh,Pro
Johnston BQ,Taipei American LH,Kate Meredith,Pro
Potomac SS,Johnston DH,Jordana Bales,Pro
Seven Lakes EM,Avenues: The World BC,Mary Beth Armstrong,Pro
Eden Prairie VV,Vel Phillips Memorial RL,Noah Mengisteab,Pro
Bronx Science AE,Lexington MS,Tuyen Le,Con
Lakeville North MS,Theodore Roosevelt MM,Pav Reddy,Con
Jordan HG,Blake BL,Pav Reddy,Con
Canyon Crest FS,East Ridge VM,Tuyen Le,Pro
Cranbrook FQ,Seven Lakes KT,Katelynn Warmbold,Pro
Theodore Roosevelt MC,Strake Jesuit  MS,Jack Ave,Con
Canyon Crest WS,Iowa City West EA,Josh Tidberg,Pro
Blake OR,Benilde-St Margaret's SW,Kim Wasser,Pro
Seven Lakes KS,Flower Mound IM,Hari Gokul,Con
Awty International ZZ,Blake BC,Stuti Singh,Pro
Bronx Science TT,Lakeville North TZ,Ben Walter,Con
Emerald KG,Johnston SA,Kate Meredith,Pro
Cranbrook GZ,Lexington LG,Josh Tidberg,Pro
Cranbrook DL,Minnetonka MB,Dheeraj Pasikanti,Pro
Boston Latin PL,Bronx Science VS,Sophia Gustafson,Pro
Cranbrook SW,Benilde-St Margaret's HM,Dhruv Prakash,Pro
Lakeville North SW,Seven Lakes FW,Ben Walter,Con
Edina MG,,,
