Aff,Neg,Judge,Result,"Aff								Points & Ranks","Neg								Points & Ranks"
Strake Jesuit  DA,Midlothian AC,Ishan Rereddy,Aff,"30																																																														1","29																																																														2"
Immaculate Heart JL,Marlborough WR,Nick Fleming,Aff,"30																																																														1","29																																																														2"
Westwood AP,Westlake AK,Joseph Barquin,Neg,"29																																																														2","29																																																														1"
Lexington AK,Harker VZ,Colton Gilbert,Aff,"29																																																														1","28																																																														2"
Marlborough ML,Strake Jesuit  JW,Ari Davidson,Neg,"29																																																														2","29																																																														1"
Harvard-Westlake NL,Strake Jesuit  JS,Yardley Rosas,Neg,"28																																																														2","29																																																														1"
Southlake Carroll PK,Westwood PM,Annabelle Long,Aff,"30																																																														1","30																																																														2"
Harker SS,Marlborough JH,Eric He,Aff,"29																																																														1","29																																																														2"
Harker AS,Little Rock Central MG,Elijah Smith,Neg,"29																																																														2","29																																																														1"
Greenhill KD,,,Aff BYE,Aff BYE,
Lovejoy JV,St Agnes EH,Morgan Copeland,Neg,"29																																																														2","29																																																														1"
Marlborough HL,Greenhill EN,Ari Davidson,Neg,"29																																																														2","29																																																														1"
Immaculate Heart RR,Westwood AR,Emmiee Malyugina,Aff,"30																																																														1","29																																																														2"
Strake Jesuit  RC,Harker DS,Eric He,Neg,"29																																																														2","30																																																														1"
Austin SFA LS,Harvard-Westlake AT,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Harvard-Westlake AW,Westwood DL,Diana Alvarez,Aff,"28																																																														1","28																																																														2"
Harvard-Westlake CR,Marlborough VA,Aaron Timmons,Neg,"28																																																														2","29																																																														1"
Strake Jesuit  DL,Northland Christian LB,Holden Bukowsky,Aff,"30																																																														1","29																																																														2"
Harvard-Westlake ML,Strake Jesuit  JK,Jack Quisenberry,Neg,"28																																																														2","29																																																														1"
Harvard-Westlake KD,Denton Guyer SB,Rodrigo Paramo,Neg,"29																																																														2","29																																																														1"
Harvard-Westlake IC,Loyola LR,David Dosch,Aff,"29																																																														1","29																																																														2"
Harker KB,Westwood AY,Annabelle Long,Aff,"29																																																														1","29																																																														2"
Homestead DA,Marlborough MJ,Gordon Krauss,Neg,"29																																																														1","29																																																														2"
Southlake Carroll EP,Lexington AG,David Herrera,Neg,"29																																																														2","29																																																														1"
Loyola KN,Westlake AC,Davíd Salazar,Neg,"29																																																														2","29																																																														1"
Immaculate Heart SS,Harvard-Westlake SW,Elijah Smith,Neg,"28																																																														2","28																																																														1"
Greenhill NT,Ayala AM,Dillon Johnson,Neg,"29																																																														2","29																																																														1"
Homestead SL,Notre Dame San Jose AG,Emmiee Malyugina,Aff,"29																																																														1","28																																																														2"
Marlborough GA,Southlake Carroll AS,Dillon Johnson,Neg,"28																																																														2","28																																																														1"
Harvard-Westlake JH,Harker RM,Jack Quisenberry,Neg,"28																																																														2","29																																																														1"
Immaculate Heart SP,Loyola CM,Colton Gilbert,Neg,"28																																																														1","28																																																														2"
Loyola SM,Dwight-Englewood EK,David Dosch,Neg,"28																																																														2","28																																																														1"
Dulles VN,Wenatchee JK,Aisha Bawany,Neg,"30																																																														2","30																																																														1"
Harker AM,Harvard-Westlake MT,Danielle Dosch,Neg,"29																																																														2","29																																																														1"
Strake Jesuit  CM,Westwood AG,Nethmin Liyanage,Neg,"27																																																														2","29																																																														1"
Peninsula AB,Westlake MR,Lindsey Williams,Neg,"29																																																														2","30																																																														1"
Marlborough FL,Strake Jesuit  VJ,Lindsey Williams,Neg,"28																																																														2","28																																																														1"
Strake Jesuit  KS,Loyola IB,Joseph Barquin,Aff,"29																																																														1","29																																																														2"
Harvard-Westlake AL,Vestavia Hills GJ,Albert Cardenas,Aff,"29																																																														1","29																																																														2"
Dulles NJ,Southlake Carroll SD,David Herrera,Aff,"28																																																														2","28																																																														1"
Tays KM,Harker MK,Jonathan Hsu,Neg,"29																																																														2","29																																																														1"
Marlborough JK,Bishop's SR,Jonathan Hsu,Neg,"28																																																														1","28																																																														2"
Harvard-Westlake EJ,Marlborough TZ,Nick Fleming,Neg,"28																																																														2","29																																																														1"
Marlborough SL,Aragon ZA,Danielle Dosch,Neg,"29																																																														2","29																																																														1"
Harker AA,Immaculate Heart AW,Gordon Krauss,Neg,"29																																																														2","29																																																														1"
