Aff,Neg,Judge,Result,"Aff								Points & Ranks","Neg								Points & Ranks"
Immaculate Heart JL,Harvard-Westlake IC,Mohul Aggarwal,Neg,"29																																																														2","29																																																														1"
Westwood DL,Southlake Carroll AS,Joseph Barquin,Neg,"28																																																														2","28																																																														1"
Lovejoy JV,Immaculate Heart SP,Aisha Bawany,Aff,"29																																																														1","28																																																														2"
Lexington AK,Strake Jesuit  JW,Holden Bukowsky,Aff,"30																																																														1","29																																																														2"
Harker SS,Immaculate Heart RR,Chris Castillo,Neg,"28																																																														2","29																																																														1"
Westwood AR,Aragon ZA,Chris Castillo,Neg,"29																																																														2","29																																																														1"
Westlake MR,Immaculate Heart SS,Vishan Chaudhary,Aff,"29																																																														1","28																																																														2"
Marlborough JH,Strake Jesuit  JK,Vishan Chaudhary,Neg,"29																																																														2","29																																																														1"
Marlborough SL,Midlothian AC,Leah Clark-Villanueva,Aff,"28																																																														1","28																																																														2"
Strake Jesuit  RC,Harvard-Westlake CR,Morgan Copeland,Aff,"29																																																														1","28																																																														2"
Lexington AG,Harker RM,David Dosch,Aff,"29																																																														1","29																																																														2"
Harvard-Westlake KD,Harker MK,Danielle Dosch,Neg,"29																																																														2","29																																																														1"
Harker AA,Northland Christian LB,Danielle Dosch,Neg,"29																																																														2","29																																																														1"
Marlborough MJ,Harker DS,David Dosch,Neg,"29																																																														2","29																																																														1"
Wenatchee JK,Marlborough ML,Nick Fleming,Aff,"29																																																														1","29																																																														2"
Greenhill NT,Harvard-Westlake JH,Colton Gilbert,Aff,"29																																																														1","29																																																														2"
Denton Guyer SB,Harker AS,Gerard Grigsby,Neg,"29																																																														2","29																																																														1"
Strake Jesuit  KS,Marlborough WR,Eric He,Neg,"29																																																														2","29																																																														1"
Westlake AK,Southlake Carroll SD,Jonathan Hsu,Neg,"28																																																														2","29																																																														1"
Marlborough HL,Harker KB,Dillon Johnson,Neg,"29																																																														2","29																																																														1"
Harker VZ,Marlborough TZ,Gordon Krauss,Aff,"28																																																														1","28																																																														2"
Westlake AC,Loyola LR,Sam Larson,Neg,"28																																																														2","28																																																														1"
Marlborough GA,Loyola KN,Dylan Liu,Aff,"28																																																														1","27																																																														2"
Notre Dame San Jose AG,Loyola CM,Annabelle Long,Aff,"29																																																														1","28																																																														2"
Greenhill EN,Tays KM,Jeannine Lopez,Neg,"29																																																														2","29																																																														1"
Westwood PM,Ayala AM,Emmiee Malyugina,Neg,"30																																																														2","30																																																														1"
Westwood AG,Strake Jesuit  VJ,Emmiee Malyugina,Aff,"30																																																														1","28																																																														2"
Loyola IB,Harvard-Westlake MT,Joshua Martin,Neg,"28																																																														2","28																																																														1"
Strake Jesuit  CM,Bishop's SR,Leo Matthes,Neg,"28																																																														2","29																																																														1"
Little Rock Central MG,Homestead SL,Rodrigo Paramo,Aff,"29																																																														1","29																																																														2"
Homestead DA,Harvard-Westlake AL,Rodrigo Paramo,Neg,"29																																																														2","29																																																														1"
Greenhill KD,Strake Jesuit  DL,Jack Quisenberry,Aff,"29																																																														1","29																																																														2"
Strake Jesuit  JS,St Agnes EH,Jack Quisenberry,Aff,"29																																																														1","29																																																														2"
Dulles VN,Southlake Carroll EP,Claudia Ribera,Neg,"29																																																														2","29																																																														1"
Harvard-Westlake ML,Vestavia Hills GJ,Yardley Rosas,Neg,"28																																																														2","29																																																														1"
Strake Jesuit  DA,Immaculate Heart AW,Collin Smith,Aff,"29																																																														1","29																																																														2"
Dulles NJ,Southlake Carroll PK,James Stuckert,Neg,"29																																																														2","29																																																														1"
Peninsula AB,Westwood AP,Aaron Timmons,Neg,"28																																																														2","29																																																														1"
Dwight-Englewood EK,Harvard-Westlake EJ,Lindsey Williams,Neg,"28																																																														2","28																																																														1"
Marlborough FL,Loyola SM,Jonathan Hsu,Aff,"28																																																														1","28																																																														2"
Marlborough VA,Harvard-Westlake SW,Gordon Krauss,Aff,"28																																																														1","28																																																														2"
Harker AM,Harvard-Westlake AT,Annabelle Long,Aff,"29																																																														1","28																																																														2"
Westwood AY,Harvard-Westlake NL,Joshua Martin,Aff,"29																																																														1","28																																																														2"
Marlborough JK,Harvard-Westlake AW,Aaron Timmons,Neg,"29																																																														2","29																																																														1"
