Aff,Neg,Judges,Votes,Result
West Des Moines Valley SJ,Strake Jesuit  ZD,"Jonathan Meza																																		Anshuman Mishra																																		Andrew Halverson","Neg																												Aff																												Neg","2-1																															NEG"
Strake Jesuit  JS,Strake Jesuit  KS,,Strake Jesuit  JS advances,Strake Jesuit  JS advances
