Pro,Con,Judges,Votes,Win
Phillipsburg KP,Newton South MD,"patrick jay																																						William LaMoure																																						Lotem Loeb","Con																															Con																															Con","3-0																															CON"
Regis AB,Lake Highland Prep KK,"M. Reza MALIHI																																						Katherine Rodger																																						Tim Russell","Con																															Con																															Pro","2-1																															CON"
Cambridge Rindge and Latin PR,Newton South RA,"Conor MacVarish																																						Laurie Schmid																																						Ethan Cooperman","Pro																															Pro																															Pro","3-0																															PRO"
Wayland MJ,Horace Mann JS,"Sahil Sood																																						Shruti Pokharna																																						Sohail Jouya","Con																															Con																															Pro","2-1																															CON"
Regis BK,Summit AB,"Andy Stubbs																																						Elizabeth Xu																																						Jonah Sah","Con																															Pro																															Pro","2-1																															PRO"
Phillipsburg AD,Horace Mann TC,"Sebastian Glos																																						Amelia Ritenour																																						Neal Collins","Con																															Con																															Pro","2-1																															CON"
Concord Carlisle MR,Regis CM,"Tara Gill																																						Ajith Vasudevan																																						Matthew Zhang","Pro																															Con																															Con","2-1																															CON"
Poly Prep Country Day BN,St Luke's MW,"Kurtis Lee																																						Grace Hu																																						Ram Miller","Con																															Pro																															Pro","2-1																															PRO"
Ridge SS,Ridge SL,,Ridge SS advances,Ridge SS advances
St Luke's GG,,,,
Horace Mann AP,,,,
Trinity FY,,,,
Newton South MK,,,,
Acton-Boxborough LJ,,,,
Kinkaid LT,,,,
Newton South ChYe,,,,
Acton-Boxborough DM,,,,
Regis FM,,,,
Bronx Science OS,,,,
Scarsdale LL,,,,
Acton-Boxborough SS,,,,
Horace Mann KP,,,,
Newton South CC,,,,
Scarsdale ZL,,,,
Horace Mann KC,,,,
Lincoln-Sudbury KH,,,,
Regis CK,,,,
Sharon KS,,,,
Summit LM,,,,
Thomas S. Wootton TP,,,,
Newton South MH,,,,
Horace Mann GY,,,,
