Pro,Con,Judges,Votes,Win
Strake Jesuit  SZ,St John's JD,"Vera Nweke																																		Greg Mayo																																		Matthew Baker","Pro																												Pro																												Pro","3-0																															PRO"
Lamar WM,St John's BW,"Matthew Cupich																																		Zhihui Gu																																		Giovanni Guillen","Con																												Pro																												Pro","2-1																															PRO"
