Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Heights SC,Marian AM,Jesse Nguyen,Aff,28.5,28.0
Iowa City West JL,West Des Moines Valley LR,Chaitra Pirisingula,Aff,29.3,28.9
Elkhorn North SS,West Des Moines Valley WS,Quinn Constantino,Aff,28.5,28.0
Dulles AS,West Des Moines Valley LS,Sadaf Zahoor,Aff,29.1,29.0
Lincoln Southwest KW,East Chapel Hill AX,Joshua Adegoke,Neg,30.0,30.0
Lincoln Southwest RM,Milpitas VL,Kristin Neary,Aff,28.5,28.5
Elkhorn North LR,Lincoln Southeast CC,David McGinnis,Neg,27.0,27.1
Millard West MS,Sioux Falls Jefferson DT,Annie Thomas,Neg,29.0,28.0
Lincoln Southwest MV,West Des Moines Valley JN,Kevin Krouse,Neg,28.0,29.2
Millard North JS,Elkhorn North NK,Sripad Yadagiri,Aff,28.9,28.6
Norfolk HB,Millard North PA,Morgan Copeland,Aff,28.9,28.8
Lincoln East KP,West Des Moines Valley SE,Everett Johns,Aff,27.0,26.0
Norfolk EL,Lincoln East MH,Fred Robertson,Neg,28.5,29.0
Heights EP,West Des Moines Valley SN,Zach Thornhill,Aff,29.7,28.3
Marian EC,Elkhorn North JM,Thomas Knudsen,Aff,28.5,27.9
West Des Moines Valley JS,Sioux Falls Jefferson TH,SCOTT KOSLOW,Aff,29.2,29.1
Marian CM,West Des Moines Valley OS,Quincy Tate,Aff,29.0,28.0
Millard West GH,West Des Moines Valley JB,Lauren Chin,Aff,30.0,29.9
Lincoln Southwest MB,Barrington AC,Isaac Chao,Neg,28.1,29.6
Stuyvesant PH,Olathe East AF,Grant McKeever,Neg,28.6,28.6
Stuyvesant DZ,Millard North SD,Joel Henson,Neg,29.0,29.2
Lincoln Southwest JA,West Des Moines Valley JW,Arjun Lingala,Neg,28.5,28.7
Millard North KB,Iowa City West GS,Mallory Henninger,Neg,30.0,30.0
Olathe East QL,Millard North SB,Elena Belashchenko,Aff,29.8,29.8
Heights CT,Lincoln East BH,Zein Saleh,Neg,29.4,29.5
Heights MW,West Des Moines Valley CS,Katie Bays,Aff,29.0,28.0
Lincoln East JM,Garland LA,Britton Teply,Neg,29.5,29.6
Elkhorn North AK,,,Aff BYE,Aff BYE,
