Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Sam Barlow EL,West Bend DG,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Minnetonka TR,Lincoln East BH,Sam Anderson,Neg,28,29
Peninsula KD,Eden Prairie AG,Vishvak Bandi,Neg,29,29
Coppell HA,Westwood MP,Saied Beckford,Aff,30,30
Lexington FM,Minnetonka MW,Mike Girouard,Neg,27,28
Lakeville South EM,West Des Moines Valley AM,Curtis Chang,Neg,28,28
West Des Moines Valley SJ,Robbinsdale Area LD,Jeong-Wan Choi,Aff,29,28
Iowa City West ST,Peninsula AL,Kaya Czyz,Aff,29,29
Lincoln East LZ,Lexington VM,Eric Endsley,Neg,29,30
Minnetonka AJ,Isidore Newman PJ,Jonathan Hsu,Neg,29,29
Eagan VK,Mount Vernon TK,Luis Hammer,Neg,28,29
West Des Moines Valley RT,Westwood PM,Javier Hernandez,Neg,29,29
Isidore Newman EE,Scarsdale DH,Devin Hernandez,Neg,29,29
Lincoln East EB,Charlotte Latin EL,Kaita Igarashi,Neg,29,29
Eagan JS,West Des Moines Valley LS,Matthew K-M,Neg,28,29
Lakeville North DA,Peninsula AJ,Kelley Kirkpatrick,Aff,27,27
Eagan DW,Peninsula AB,Klil Loeb,Aff,28,28
Apple Valley KW,Scarsdale OL,Mark Kivimaki,Aff,28,28
Apple Valley NB,Eagan AE,Kate Totz,Aff,30,29
Apple Valley RL,Lexington BF,Julian Kuffour,Neg,29,29
Iowa City West NW,Minnetonka JB,David McGinnis,Aff,28,28
Minnetonka SS,Coppell ER,Ursula Gruber,Aff,29,28
Peninsula WW,Lincoln East JZ,Jacob Nails,Aff,28,28
Eden Prairie SD,Coppell VN,Sanjana Raj,Aff,28,28
Scarsdale BS,Lexington MS,,"Aff BYE																									Neg BYE","Aff BYE																									Neg BYE",
Lexington AG,Edina NK,Pratham Soni,Aff,30,29
Robbinsdale Area OS,West Bend ER,Victor Chen,Neg,28,29
Peninsula KN,Edina DS,Cort Sylvester,Neg,28,28
Byram Hills AK,Lexington CH,Conal Thomas-McGinnis,Neg,28,29
Neenah NB,Lexington AS,Kyle Kopf,Neg,28,28
Coppell EH,New Trier RK,Bianca Turman,Aff,30,30
Ridge Point VM,Prospect ST,Jalyn Wu,Neg,28,29
Rosemount CP,Neenah IH,Maggie Wuollet,Aff,28,28
Rosemount CD,,,Aff BYE,Aff BYE,
